name,code,latitude,longitude,zoom
あま市,amashi-city,35.206201,136.818714,13
みよし市,miyoshishi-city,35.10181,137.100743,13
一宮市,ichinomiyashi-city,35.295331,136.816885,13
丹羽郡大口町,niwagunoguchicho-town,35.344326,136.91637,13
丹羽郡扶桑町,niwagunfusocho-town,35.365946,136.903792,13
刈谷市,kariyashi-city,34.991058,137.010967,13
北名古屋市,kitanagoyashi-city,35.261576,136.859189,13
北設楽郡東栄町,kitashitaraguntoeicho-town,35.041122,137.709001,13
北設楽郡設楽町,kitashitaragunshitaracho-town,35.038195,137.606529,13
北設楽郡豊根村,kitashitaraguntoyonemura-village,35.152641,137.691099,13
半田市,handashi-city,34.913058,136.905717,13
名古屋市中区,nagoyashinakaku-ward,35.170061,136.921741,13
名古屋市中川区,nagoyashinakagawaku-ward,35.133953,136.8768,13
名古屋市中村区,nagoyashinakamuraku-ward,35.149189,136.85319,13
名古屋市北区,nagoyashikitaku-ward,35.211526,136.922879,13
名古屋市千種区,nagoyashichikusaku-ward,35.152935,136.964961,13
名古屋市南区,nagoyashiminamiku-ward,35.102404,136.941146,13
名古屋市名東区,nagoyashimeitoku-ward,35.14059,137.009807,13
名古屋市天白区,nagoyashitempakuku-ward,35.143845,136.977842,13
名古屋市守山区,nagoyashimoriyamaku-ward,35.24887,137.046853,13
名古屋市昭和区,nagoyashishowaku-ward,35.155586,136.92985,13
名古屋市東区,nagoyashihigashiku-ward,35.196773,136.946962,13
名古屋市港区,nagoyashiminatoku-ward,35.100641,136.837166,13
名古屋市熱田区,nagoyashiatsutaku-ward,35.121222,136.913893,13
名古屋市瑞穂区,nagoyashimizuhoku-ward,35.132011,136.955457,13
名古屋市緑区,nagoyashimidoriku-ward,35.064156,136.968766,13
名古屋市西区,nagoyashinishiku-ward,35.203607,136.876986,13
大府市,obushi-city,35.005016,136.965326,13
安城市,anjoshi-city,34.98485,137.100357,13
小牧市,komakishi-city,35.295589,136.889439,13
尾張旭市,owariasahishi-city,35.209091,137.009529,13
岡崎市,okazakishi-city,34.958123,137.171416,13
岩倉市,iwakurashi-city,35.276346,136.871761,13
常滑市,tokonameshi-city,34.893029,136.873084,13
弥富市,yatomishi-city,35.07744,136.756763,13
愛知郡東郷町,aichiguntogocho-town,35.105689,137.046056,13
愛西市,aisaishi-city,35.202512,136.697666,13
新城市,shinshiroshi-city,34.900324,137.499859,13
日進市,nisshinshi-city,35.121563,137.016715,13
春日井市,kasugaishi-city,35.221051,136.957753,13
東海市,tokaishi-city,35.049591,136.90444,13
江南市,konanshi-city,35.327418,136.851935,13
津島市,tsushimashi-city,35.178377,136.745632,13
海部郡大治町,amagunoharucho-town,35.168387,136.820247,13
海部郡蟹江町,amagunkaniecho-town,35.139381,136.790091,13
海部郡飛島村,amaguntobishimamura-village,35.070068,136.820968,13
清須市,kiyosushi-city,35.22464,136.842613,13
瀬戸市,setoshi-city,35.210186,137.080485,13
犬山市,inuyamashi-city,35.370836,136.928729,13
田原市,taharashi-city,34.658632,137.310072,13
知多市,chitashi-city,34.971648,136.901659,13
知多郡南知多町,chitagunminamichitacho-town,34.74581,136.880159,13
知多郡東浦町,chitagunhigashiuracho-town,34.994575,136.964281,13
知多郡武豊町,chitaguntaketoyocho-town,34.823662,136.901793,13
知多郡美浜町,chitagunmihamacho-town,34.804393,136.88181,13
知多郡阿久比町,chitagunaguicho-town,34.94034,136.907487,13
知立市,chiryushi-city,35.017972,137.040964,13
碧南市,hekinanshi-city,34.905079,136.98845,13
稲沢市,inazawashi-city,35.24916,136.780322,13
蒲郡市,gamagorishi-city,34.825785,137.218621,13
西尾市,nishioshi-city,34.863584,137.049631,13
西春日井郡豊山町,nishikasugaiguntoyoyamacho-town,35.246843,136.91692,13
豊川市,toyokawashi-city,34.871415,137.307875,13
豊明市,toyoakeshi-city,35.044668,137.012116,13
豊橋市,toyohashishi-city,34.78677,137.423079,13
豊田市,toyotashi-city,35.195402,137.400544,13
長久手市,nagakuteshi-city,35.181968,137.047303,13
額田郡幸田町,nukatagunkotacho-town,34.847328,137.157443,13
高浜市,takahamashi-city,34.925833,136.981389,13
