name,code,latitude,longitude,zoom
にかほ市,nikahoshi-city,39.219524,139.998029,13
仙北市,sembokushi-city,39.593981,140.576616,13
仙北郡美郷町,sembokugunmisatocho-town,39.444077,140.553514,13
北秋田市,kitaakitashi-city,39.991073,140.475324,13
北秋田郡上小阿仁村,kitaakitagunkamikoanimura-village,40.030919,140.267611,13
南秋田郡五城目町,minamiakitagungojomemachi-town,39.946631,140.114288,13
南秋田郡井川町,minamiakitagunikawamachi-town,39.884129,140.121649,13
南秋田郡八郎潟町,minamiakitagunhachirogatamachi-town,39.951951,140.068059,13
南秋田郡大潟村,minamiakitagunogatamura-village,40.019498,139.959752,13
大仙市,daisenshi-city,39.566121,140.565665,13
大館市,odateshi-city,40.265328,140.560573,13
山本郡三種町,yamamotogunmitanecho-town,40.07329,139.962481,13
山本郡八峰町,yamamotogunhappocho-town,40.396356,140.03869,13
山本郡藤里町,yamamotogunfujisatomachi-town,40.276743,140.304015,13
横手市,yokoteshi-city,39.225365,140.527084,13
湯沢市,yuzawashi-city,39.158744,140.534089,13
潟上市,katagamishi-city,39.898089,140.077104,13
由利本荘市,yurihonjoshi-city,39.508172,140.092855,13
男鹿市,ogashi-city,39.96612,139.778329,13
秋田市,akitashi-city,39.751713,140.061735,13
能代市,noshiroshi-city,40.224606,140.255143,13
雄勝郡東成瀬村,ogachigunhigashinarusemura-village,39.180566,140.715779,13
雄勝郡羽後町,ogachigunugomachi-town,39.194329,140.435011,13
鹿角市,kazunoshi-city,40.179767,140.741629,13
鹿角郡小坂町,kazunogunkosakamachi-town,40.300628,140.760426,13
