name,code,latitude,longitude,zoom
つがる市,tsugarushi-city,40.815893,140.369844,13
むつ市,mutsushi-city,41.170953,141.28329,13
三戸郡三戸町,sannohegunsannohemachi-town,40.387931,141.264705,13
三戸郡五戸町,sannohegungonohemachi-town,40.562765,141.39458,13
三戸郡南部町,sannohegunnambucho-town,40.408635,141.327734,13
三戸郡新郷村,sannohegunshingomura-village,40.453328,141.112886,13
三戸郡田子町,sannoheguntakkomachi-town,40.306553,141.136931,13
三戸郡階上町,sannohegunhashikamicho-town,40.42076,141.556793,13
三沢市,misawashi-city,40.774847,141.382083,13
上北郡おいらせ町,kamikitagunoirasecho-town,40.590251,141.38252,13
上北郡七戸町,kamikitagunshichinohemachi-town,40.696638,141.151648,13
上北郡六ヶ所村,kamikitagunrokkashomura-village,40.876101,141.301181,13
上北郡六戸町,kamikitagunrokunohemachi-town,40.581938,141.327752,13
上北郡東北町,kamikitaguntohokumachi-town,40.735432,141.249514,13
上北郡横浜町,kamikitagunyokohamamachi-town,41.066999,141.266482,13
上北郡野辺地町,kamikitagunnohejimachi-town,40.86919,141.144519,13
下北郡佐井村,shimokitagunsaimura-village,41.403862,140.882932,13
下北郡大間町,shimokitagunomamachi-town,41.527021,140.920337,13
下北郡東通村,shimokitagunhigashidorimura-village,41.333295,141.25873,13
下北郡風間浦村,shimokitagunkazamauramura-village,41.468417,141.084885,13
中津軽郡西目屋村,nakatsugarugunnishimeyamura-village,40.578941,140.269431,13
五所川原市,goshogawarashi-city,40.82352,140.471105,13
八戸市,hachinoheshi-city,40.403681,141.410179,13
北津軽郡中泊町,kitatsugarugunnakadomarimachi-town,41.022436,140.489689,13
北津軽郡板柳町,kitatsugarugunitayanagimachi-town,40.706514,140.46463,13
北津軽郡鶴田町,kitatsugaruguntsurutamachi-town,40.748699,140.449973,13
十和田市,towadashi-city,40.625859,141.246525,13
南津軽郡大鰐町,minamitsugarugunowanimachi-town,40.512854,140.542241,13
南津軽郡田舎館村,minamitsugaruguninakadatemura-village,40.640555,140.548482,13
南津軽郡藤崎町,minamitsugarugunfujisakimachi-town,40.67115,140.564956,13
平川市,hirakawashi-city,40.602096,140.568429,13
弘前市,hirosakishi-city,40.609382,140.430263,13
東津軽郡今別町,higashitsugarugunimabetsumachi-town,41.167818,140.480629,13
東津軽郡外ケ浜町,higashitsugarugunsotogahamamachi-town,41.236488,140.391475,13
東津軽郡平内町,higashitsugarugunhiranaimachi-town,40.924383,140.884375,13
東津軽郡蓬田村,higashitsugarugunyomogitamura-village,40.954651,140.640011,13
西津軽郡深浦町,nishitsugarugunfukauramachi-town,40.614357,140.001936,13
西津軽郡鰺ヶ沢町,nishitsugarugunajigasawamachi-town,40.680371,140.143261,13
青森市,aomorishi-city,40.810829,140.689088,13
黒石市,kuroishishi-city,40.665343,140.58337,13
