name,code,latitude,longitude,zoom
いすみ市,isumishi-city,35.302627,140.298044,13
佐倉市,sakurashi-city,35.753557,140.159477,13
八千代市,yachiyoshi-city,35.771972,140.092925,13
八街市,yachimatashi-city,35.675317,140.336397,13
勝浦市,katsurashi-city,35.169099,140.247897,13
匝瑳市,sosashi-city,35.738913,140.533915,13
千葉市中央区,chibashichuoku-ward,35.616196,140.132725,13
千葉市稲毛区,chibashiinageku-ward,35.632655,140.105346,13
千葉市緑区,chibashimidoriku-ward,35.529696,140.269823,13
千葉市美浜区,chibashimihamaku-ward,35.629713,140.064054,13
千葉市花見川区,chibashihanamigawaku-ward,35.657353,140.091029,13
千葉市若葉区,chibashiwakabaku-ward,35.653386,140.1345,13
南房総市,minamibososhi-city,35.03554,139.996775,13
印旛郡栄町,imbagunsakaemachi-town,35.849339,140.221016,13
印旛郡酒々井町,imbagunshisuimachi-town,35.746213,140.266977,13
印西市,inzaishi-city,35.761041,140.152235,13
君津市,kimitsushi-city,35.215031,140.081962,13
四街道市,yotsukaidoshi-city,35.662563,140.182957,13
大網白里市,oamishirasatoshi-city,35.524232,140.294263,13
夷隅郡大多喜町,isumigunotakimachi-town,35.212679,140.180765,13
夷隅郡御宿町,isumigunonjukumachi-town,35.202514,140.31393,13
安房郡鋸南町,awagunkyonanmachi-town,35.14558,139.891292,13
富津市,futtsushi-city,35.201051,139.880138,13
富里市,tomisatoshi-city,35.751151,140.348095,13
山武市,sammushi-city,35.604539,140.358984,13
山武郡九十九里町,sambugunkujukurimachi-town,35.529399,140.398483,13
山武郡横芝光町,sambugunyokoshibahikarimachi-town,35.632532,140.550574,13
山武郡芝山町,sambugunshibayamamachi-town,35.72341,140.400154,13
市原市,ichiharashi-city,35.489553,140.210336,13
市川市,ichikawashi-city,35.756186,139.926708,13
成田市,naritashi-city,35.761867,140.262069,13
我孫子市,abikoshi-city,35.849624,140.121055,13
旭市,asahishi-city,35.782921,140.648846,13
木更津市,kisarazushi-city,35.386575,139.916632,13
東金市,toganeshi-city,35.536009,140.400144,13
松戸市,matsudoshi-city,35.793901,139.906199,13
柏市,kashiwashi-city,35.916666,139.92068,13
流山市,nagareyamashi-city,35.868658,139.913748,13
浦安市,urayasushi-city,35.644934,139.918976,13
白井市,shiroishi-city,35.776788,140.055206,13
習志野市,narashinoshi-city,35.673642,140.001914,13
船橋市,funabashishi-city,35.731294,139.984841,13
茂原市,mobarashi-city,35.443656,140.299095,13
袖ヶ浦市,sodegaurashi-city,35.375384,140.027851,13
野田市,nodashi-city,36.061966,139.794382,13
銚子市,choshishi-city,35.734984,140.790456,13
鎌ヶ谷市,kamagayashi-city,35.785893,140.009996,13
長生郡一宮町,choseigunichinomiyamachi-town,35.385494,140.379083,13
長生郡白子町,choseigunshirakomachi-town,35.465029,140.396996,13
長生郡睦沢町,choseigunmutsuzawamachi-town,35.35058,140.337982,13
長生郡長南町,choseigunchonanmachi-town,35.333204,140.240162,13
長生郡長柄町,choseigunnagaramachi-town,35.475329,140.240351,13
長生郡長生村,choseigunchoseimura-village,35.430641,140.368212,13
館山市,tateyamashi-city,34.92409,139.8286,13
香取市,katorishi-city,35.912148,140.467817,13
香取郡多古町,katoriguntakomachi-town,35.749433,140.447046,13
香取郡東庄町,katoriguntonoshomachi-town,35.79578,140.670594,13
香取郡神崎町,katorigunkozakimachi-town,35.903725,140.423934,13
鴨川市,kamogawashi-city,35.141486,140.161968,13
