name,code,latitude,longitude,zoom
上浮穴郡久万高原町,kamiukenagunkumakogencho-town,33.691462,133.08025,13
今治市,imabarishi-city,34.067445,132.966444,13
伊予市,iyoshi-city,33.71987,132.753929,13
伊予郡松前町,iyogunmasakicho-town,33.798934,132.731295,13
伊予郡砥部町,iyoguntobecho-town,33.713154,132.76623,13
八幡浜市,yawatahamashi-city,33.459078,132.433762,13
北宇和郡松野町,kitauwagunmatsunocho-town,33.180809,132.722177,13
北宇和郡鬼北町,kitauwagunkihokucho-town,33.322467,132.79612,13
南宇和郡愛南町,minamiuwagunainancho-town,32.930516,132.430972,13
喜多郡内子町,kitagunuchikocho-town,33.529722,132.643893,13
四国中央市,shikokuchuoshi-city,33.977056,133.595496,13
大洲市,ozushi-city,33.512134,132.575245,13
宇和島市,uwajimashi-city,33.284545,132.531435,13
新居浜市,niihamashi-city,33.958125,133.3575,13
東温市,toonshi-city,33.748647,132.933395,13
松山市,matsuyamashi-city,33.935299,132.821182,13
西予市,seiyoshi-city,33.414851,132.589759,13
西宇和郡伊方町,nishiuwagunikatacho-town,33.468771,132.268924,13
西条市,saijoshi-city,33.905499,133.16806,13
越智郡上島町,ochigunkamijimacho-town,34.270477,133.178516,13
