name,code,latitude,longitude,zoom
あわら市,awarashi-city,36.203048,136.226126,13
三方上中郡若狭町,mikatakaminakagunwakasacho-town,35.525772,135.909444,13
三方郡美浜町,mikatagunmihamacho-town,35.592748,135.918235,13
丹生郡越前町,nyugunechizencho-town,36.019402,136.075715,13
今立郡池田町,imadategunikedacho-town,35.940614,136.410919,13
勝山市,katsuyamashi-city,36.139501,136.542118,13
南条郡南越前町,nanjogunminamiechizencho-town,35.848159,136.187192,13
吉田郡永平寺町,yoshidaguneiheijicho-town,36.06422,136.289397,13
坂井市,sakaishi-city,36.162845,136.350972,13
大野市,onoshi-city,35.968617,136.718617,13
大飯郡おおい町,oigunoicho-town,35.443055,135.561644,13
大飯郡高浜町,oiguntakahamacho-town,35.485476,135.599963,13
小浜市,obamashi-city,35.498027,135.741451,13
敦賀市,tsurugashi-city,35.655513,136.06831,13
福井市,fukuishi-city,36.083808,136.076794,13
越前市,echizenshi-city,35.902287,136.181738,13
鯖江市,sabaeshi-city,35.944274,136.187465,13
