name,code,latitude,longitude,zoom
うきは市,ukihashi-city,33.330546,130.792127,13
みやま市,miyamashi-city,33.163429,130.481244,13
三井郡大刀洗町,miiguntachiaraimachi-town,33.366895,130.646345,13
三潴郡大木町,mizumagunokimachi-town,33.189894,130.437617,13
中間市,nakamashi-city,33.818511,130.687324,13
久留米市,kurumeshi-city,33.359985,130.618066,13
京都郡みやこ町,miyakogunmiyakomachi-town,33.678306,130.997909,13
京都郡苅田町,miyakogunkandamachi-town,33.741286,130.954691,13
八女市,yameshi-city,33.207555,130.549345,13
八女郡広川町,yamegunhirokawamachi-town,33.244761,130.516567,13
北九州市八幡東区,kitakyushushiyahatahigashiku-ward,33.877723,130.792333,13
北九州市八幡西区,kitakyushushiyahatanishiku-ward,33.826166,130.772165,13
北九州市小倉北区,kitakyushushikokurakitaku-ward,33.876843,130.913449,13
北九州市小倉南区,kitakyushushikokuraminamiku-ward,33.77509,130.893088,13
北九州市戸畑区,kitakyushushitobataku-ward,33.910357,130.845989,13
北九州市若松区,kitakyushushiwakamatsuku-ward,33.910735,130.690001,13
北九州市門司区,kitakyushushimojiku-ward,33.882254,130.983263,13
古賀市,kogashi-city,33.70597,130.48004,13
嘉穂郡桂川町,kahogunkeisenmachi-town,33.592852,130.65805,13
嘉麻市,kamashi-city,33.543253,130.719609,13
大川市,okawashi-city,33.190439,130.370818,13
大牟田市,omutashi-city,33.03927,130.354097,13
大野城市,onojoshi-city,33.520825,130.478669,13
太宰府市,dazaifushi-city,33.529587,130.553469,13
宗像市,munakatashi-city,33.776052,130.553834,13
宮若市,miyawakashi-city,33.70774,130.678811,13
小郡市,ogorishi-city,33.378787,130.569819,13
春日市,kasugashi-city,33.50351,130.449437,13
朝倉市,asakurashi-city,33.409771,130.685034,13
朝倉郡東峰村,asakuraguntohomura-village,33.423417,130.87836,13
朝倉郡筑前町,asakuragunchikuzenmachi-town,33.480188,130.589599,13
柳川市,yanagawashi-city,33.168448,130.410958,13
田川市,tagawashi-city,33.62166,130.831691,13
田川郡大任町,tagawagunotomachi-town,33.628173,130.849574,13
田川郡川崎町,tagawagunkawasakimachi-town,33.546305,130.816949,13
田川郡添田町,tagawagunsoedamachi-town,33.528365,130.840741,13
田川郡福智町,tagawagunfukuchimachi-town,33.693175,130.762115,13
田川郡糸田町,tagawagunitodamachi-town,33.655489,130.789424,13
田川郡赤村,tagawagunakamura-village,33.630572,130.875462,13
田川郡香春町,tagawagunkawaramachi-town,33.653982,130.848893,13
直方市,nogatashi-city,33.730633,130.757183,13
福岡市中央区,fukuokashichuoku-ward,33.587481,130.390215,13
福岡市南区,fukuokashiminamiku-ward,33.513912,130.390518,13
福岡市博多区,fukuokashihakataku-ward,33.590954,130.44525,13
福岡市城南区,fukuokashijonanku-ward,33.525288,130.374218,13
福岡市早良区,fukuokashisawaraku-ward,33.506444,130.348132,13
福岡市東区,fukuokashihigashiku-ward,33.698146,130.413171,13
福岡市西区,fukuokashinishiku-ward,33.575036,130.294266,13
福津市,fukutsushi-city,33.775015,130.521806,13
筑後市,chikugoshi-city,33.247149,130.510214,13
筑紫野市,chikushinoshi-city,33.478403,130.522631,13
築上郡上毛町,chikujogunkogemachi-town,33.547583,131.180899,13
築上郡吉富町,chikujogunyoshitomimachi-town,33.599343,131.168148,13
築上郡築上町,chikujogunchikujomachi-town,33.624757,131.055116,13
糟屋郡久山町,kasuyagunhisayamamachi-town,33.65525,130.529634,13
糟屋郡宇美町,kasuyagunumimachi-town,33.56593,130.498995,13
糟屋郡志免町,kasuyagunshimemachi-town,33.592756,130.464458,13
糟屋郡新宮町,kasuyagunshingumachi-town,33.698897,130.457925,13
糟屋郡篠栗町,kasuyagunsasagurimachi-town,33.615605,130.507212,13
糟屋郡粕屋町,kasuyagunkasuyamachi-town,33.62869,130.492193,13
糟屋郡須恵町,kasuyagunsuemachi-town,33.588338,130.516712,13
糸島市,itoshimashi-city,33.544417,130.222544,13
行橋市,yukuhashishi-city,33.741448,130.899365,13
豊前市,buzenshi-city,33.606269,131.151441,13
遠賀郡岡垣町,ongagunokagakimachi-town,33.8618,130.592183,13
遠賀郡水巻町,ongagunmizumakimachi-town,33.843702,130.688366,13
遠賀郡芦屋町,ongagunashiyamachi-town,33.905809,130.667375,13
遠賀郡遠賀町,ongagunongacho-town,33.832222,130.653199,13
那珂川市,nakagawashi-city,33.481925,130.443092,13
鞍手郡小竹町,kurategunkotakemachi-town,33.695323,130.705405,13
鞍手郡鞍手町,kurategunkuratemachi-town,33.806394,130.68769,13
飯塚市,iizukashi-city,33.670933,130.649704,13
