name,code,latitude,longitude,zoom
いわき市,iwakishi-city,37.084435,140.873257,13
二本松市,nihommatsushi-city,37.566907,140.452206,13
伊達市,dateshi-city,37.814588,140.503767,13
伊達郡国見町,dategunkunimimachi-town,37.897151,140.58791,13
伊達郡川俣町,dategunkawamatamachi-town,37.697148,140.622397,13
伊達郡桑折町,dategunkorimachi-town,37.848263,140.50832,13
会津若松市,aizuwakamatsushi-city,37.516543,139.939368,13
南会津郡下郷町,minamiaizugunshimogomachi-town,37.25751,139.885336,13
南会津郡南会津町,minamiaizugunminamiaizumachi-town,37.102864,139.535912,13
南会津郡只見町,minamiaizuguntadamimachi-town,37.318435,139.4285,13
南会津郡檜枝岐村,minamiaizugunhinoematamura-village,37.018918,139.38263,13
南相馬市,minamisomashi-city,37.580961,140.984245,13
双葉郡双葉町,futabagunfutabamachi-town,37.45145,140.97856,13
双葉郡大熊町,futabagunokumamachi-town,37.405289,140.974849,13
双葉郡富岡町,futabaguntomiokamachi-town,37.362663,140.961634,13
双葉郡川内村,futabagunkawauchimura-village,37.346073,140.769743,13
双葉郡広野町,futabagunhironomachi-town,37.232484,140.970001,13
双葉郡楢葉町,futabagunnarahamachi-town,37.270716,140.96868,13
双葉郡浪江町,futabagunnamiemachi-town,37.563967,140.76441,13
双葉郡葛尾村,futabagunkatsuraomura-village,37.511209,140.706978,13
喜多方市,kitakatashi-city,37.641512,139.876189,13
大沼郡三島町,onumagunmishimamachi-town,37.480247,139.660234,13
大沼郡会津美里町,onumagunaizumisatomachi-town,37.44512,139.895153,13
大沼郡昭和村,onumagunshowamura-village,37.33592,139.606977,13
大沼郡金山町,onumagunkaneyamamachi-town,37.488017,139.522787,13
安達郡大玉村,adachigunotamamura-village,37.55421,140.380661,13
岩瀬郡天栄村,iwasegunteneimura-village,37.261403,140.221524,13
岩瀬郡鏡石町,iwasegunkagamiishimachi-town,37.246238,140.351882,13
本宮市,motomiyashi-city,37.501962,140.374651,13
東白川郡塙町,higashishirakawagunhanawamachi-town,36.966487,140.411598,13
東白川郡棚倉町,higashishirakawaguntanaguramachi-town,37.077922,140.398866,13
東白川郡矢祭町,higashishirakawagunyamatsurimachi-town,36.828769,140.457963,13
東白川郡鮫川村,higashishirakawagunsamegawamura-village,37.018298,140.4845,13
河沼郡会津坂下町,kawanumagunaizubangemachi-town,37.57854,139.834853,13
河沼郡柳津町,kawanumagunyanaizumachi-town,37.459412,139.725927,13
河沼郡湯川村,kawanumagunyugawamura-village,37.574778,139.875997,13
田村市,tamurashi-city,37.414457,140.668407,13
田村郡三春町,tamuragunmiharumachi-town,37.47646,140.491082,13
田村郡小野町,tamuragunonomachi-town,37.231482,140.611098,13
白河市,shirakawashi-city,37.113132,140.215722,13
相馬市,somashi-city,37.751453,140.937975,13
相馬郡新地町,somagunshinchimachi-town,37.890339,140.921611,13
相馬郡飯舘村,somaguniitatemura-village,37.658772,140.80271,13
石川郡古殿町,ishikawagunfurudonomachi-town,37.103453,140.50865,13
石川郡平田村,ishikawagunhiratamura-village,37.248295,140.558782,13
石川郡浅川町,ishikawagunasakawamachi-town,37.062653,140.423054,13
石川郡玉川村,ishikawaguntamakawamura-village,37.219855,140.409671,13
石川郡石川町,ishikawagunishikawamachi-town,37.152967,140.513312,13
福島市,fukushimashi-city,37.776734,140.47892,13
耶麻郡北塩原村,yamagunkitashiobaramura-village,37.663397,139.922903,13
耶麻郡猪苗代町,yamaguninawashiromachi-town,37.544709,140.072955,13
耶麻郡磐梯町,yamagunbandaimachi-town,37.581299,139.966793,13
耶麻郡西会津町,yamagunnishiaizumachi-town,37.580614,139.715122,13
西白河郡中島村,nishishirakawagunnakajimamura-village,37.132615,140.356509,13
西白河郡泉崎村,nishishirakawagunizumizakimura-village,37.141036,140.306398,13
西白河郡矢吹町,nishishirakawagunyabukimachi-town,37.168093,140.361128,13
西白河郡西郷村,nishishirakawagunnishigomura-village,37.137526,140.076227,13
郡山市,koriyamashi-city,37.384178,140.371628,13
須賀川市,sukagawashi-city,37.252926,140.383103,13
