name,code,latitude,longitude,zoom
下呂市,geroshi-city,35.788396,137.189525,13
不破郡垂井町,fuwaguntaruicho-town,35.37403,136.529323,13
不破郡関ケ原町,fuwagunsekigaharacho-town,35.329498,136.434151,13
中津川市,nakatsugawashi-city,35.401929,137.516414,13
加茂郡七宗町,kamogunhichisocho-town,35.589429,137.082972,13
加茂郡八百津町,kamogunyaotsucho-town,35.463249,137.126773,13
加茂郡坂祝町,kamogunsakahogicho-town,35.432689,137.002414,13
加茂郡富加町,kamoguntomikacho-town,35.496609,136.958108,13
加茂郡川辺町,kamogunkawabecho-town,35.500365,137.101341,13
加茂郡東白川村,kamogunhigashishirakawamura-village,35.652923,137.385277,13
加茂郡白川町,kamogunshirakawacho-town,35.554193,137.257586,13
可児市,kanishi-city,35.399502,137.046815,13
可児郡御嵩町,kanigunmitakecho-town,35.431366,137.153978,13
各務原市,kakamigaharashi-city,35.413923,136.931102,13
土岐市,tokishi-city,35.356349,137.175795,13
多治見市,tajimishi-city,35.308669,137.084298,13
大垣市,ogakishi-city,35.334081,136.596598,13
大野郡白川村,onogunshirakawamura-village,36.202267,136.879482,13
安八郡安八町,ampachigunampachicho-town,35.325597,136.658055,13
安八郡神戸町,ampachigungodocho-town,35.428152,136.611172,13
安八郡輪之内町,ampachigunwanochicho-town,35.293989,136.6606,13
山県市,yamagatashi-city,35.612147,136.78258,13
岐阜市,gifushi-city,35.428238,136.770409,13
恵那市,enashi-city,35.298233,137.395775,13
揖斐郡大野町,ibigunonocho-town,35.440186,136.62829,13
揖斐郡揖斐川町,ibigunibigawacho-town,35.477785,136.527038,13
揖斐郡池田町,ibigunikedacho-town,35.438732,136.569528,13
本巣市,motosushi-city,35.448354,136.674655,13
本巣郡北方町,motosugunkitagatacho-town,35.440742,136.694116,13
海津市,kaizushi-city,35.222226,136.598451,13
瑞浪市,mizunamishi-city,35.383997,137.230108,13
瑞穂市,mizuhoshi-city,35.370569,136.666235,13
美濃加茂市,minokamoshi-city,35.459458,137.005206,13
美濃市,minoshi-city,35.547411,136.908472,13
羽島市,hashimashi-city,35.30191,136.688662,13
羽島郡岐南町,hashimagunginancho-town,35.378917,136.765645,13
羽島郡笠松町,hashimagunkasamatsucho-town,35.366834,136.764894,13
郡上市,gujoshi-city,35.922028,136.939302,13
関市,sekishi-city,35.470977,136.883735,13
飛騨市,hidashi-city,36.405702,137.128635,13
養老郡養老町,yorogunyorocho-town,35.256983,136.584193,13
高山市,takayamashi-city,36.241638,137.444278,13
