name,code,latitude,longitude,zoom
みどり市,midorishi-city,36.518931,139.297322,13
伊勢崎市,isesakishi-city,36.380676,139.2619,13
佐波郡玉村町,sawaguntamamuramachi-town,36.295512,139.111869,13
利根郡みなかみ町,tonegunminakamimachi-town,36.768793,138.874961,13
利根郡川場村,tonegunkawabamura-village,36.704638,139.152354,13
利根郡昭和村,tonegunshowamura-village,36.597862,139.054537,13
利根郡片品村,tonegunkatashinamura-village,36.751879,139.28326,13
前橋市,maebashishi-city,36.359246,139.074316,13
北群馬郡吉岡町,kitagunmagunyoshiokamachi-town,36.461722,138.963905,13
北群馬郡榛東村,kitagunmagunshintomura-village,36.459895,138.936629,13
吾妻郡中之条町,agatsumagunnakanojomachi-town,36.632661,138.743336,13
吾妻郡嬬恋村,agatsumaguntsumagoimura-village,36.558228,138.543777,13
吾妻郡東吾妻町,agatsumagunhigashiagatsumamachi-town,36.546269,138.75743,13
吾妻郡草津町,agatsumagunkusatsumachi-town,36.593479,138.575109,13
吾妻郡長野原町,agatsumagunnaganoharamachi-town,36.532318,138.624258,13
吾妻郡高山村,agatsumaguntakayamamura-village,36.621687,138.959336,13
多野郡上野村,tanogunuenomura-village,36.101042,138.770115,13
多野郡神流町,tanogunkannamachi-town,36.131565,138.912058,13
太田市,otashi-city,36.248065,139.309247,13
安中市,annakashi-city,36.29363,138.841518,13
富岡市,tomiokashi-city,36.283783,138.926799,13
桐生市,kiryushi-city,36.402382,139.316967,13
沼田市,numatashi-city,36.680651,139.080288,13
渋川市,shibukawashi-city,36.523192,139.048309,13
甘楽郡下仁田町,kanragunshimonitamachi-town,36.272241,138.734615,13
甘楽郡南牧村,kanragunnammokumura-village,36.171657,138.690185,13
甘楽郡甘楽町,kanragunkanramachi-town,36.236947,138.926077,13
藤岡市,fujiokashi-city,36.234662,139.045154,13
邑楽郡千代田町,oragunchiyodamachi-town,36.196435,139.474744,13
邑楽郡大泉町,oragunoizumimachi-town,36.265169,139.42839,13
邑楽郡明和町,oragunmeiwamachi-town,36.213032,139.50683,13
邑楽郡板倉町,oragunitakuramachi-town,36.20356,139.643873,13
邑楽郡邑楽町,oragunoramachi-town,36.263476,139.465945,13
館林市,tatebayashishi-city,36.222711,139.517168,13
高崎市,takasakishi-city,36.305725,139.089332,13
