name,code,latitude,longitude,zoom
三原市,miharashi-city,34.378908,133.071732,13
三次市,miyoshishi-city,34.77434,133.020423,13
世羅郡世羅町,seragunseracho-town,34.577394,133.024422,13
呉市,kureshi-city,34.24004,132.579238,13
大竹市,otakeshi-city,34.214066,132.207784,13
安芸郡坂町,akigunsakacho-town,34.308013,132.500018,13
安芸郡府中町,akigunfuchucho-town,34.409356,132.516727,13
安芸郡海田町,akigunkaitacho-town,34.379874,132.54159,13
安芸郡熊野町,akigunkumanocho-town,34.319396,132.58005,13
安芸高田市,akitakatashi-city,34.712147,132.722066,13
尾道市,onomichishi-city,34.345926,133.167003,13
山県郡北広島町,yamagatagunkitahiroshimacho-town,34.65958,132.510888,13
山県郡安芸太田町,yamagatagunakiotacho-town,34.575343,132.269998,13
広島市中区,hiroshimashinakaku-ward,34.396743,132.444904,13
広島市佐伯区,hiroshimashisaekiku-ward,34.430592,132.357793,13
広島市南区,hiroshimashiminamiku-ward,34.313867,132.46253,13
広島市安佐北区,hiroshimashiasakitaku-ward,34.513836,132.530891,13
広島市安佐南区,hiroshimashiasaminamiku-ward,34.468866,132.400587,13
広島市安芸区,hiroshimashiakiku-ward,34.383,132.526063,13
広島市東区,hiroshimashihigashiku-ward,34.396257,132.487153,13
広島市西区,hiroshimashinishiku-ward,34.417138,132.460336,13
庄原市,shobarashi-city,34.838688,133.016478,13
府中市,fuchushi-city,34.61866,133.179216,13
廿日市市,hatsukaichishi-city,34.338533,132.133677,13
東広島市,higashihiroshimashi-city,34.439188,132.764357,13
江田島市,etajimashi-city,34.267325,132.475607,13
神石郡神石高原町,jinsekigunjinsekikogencho-town,34.841032,133.187456,13
福山市,fukuyamashi-city,34.572507,133.337902,13
竹原市,takeharashi-city,34.365902,132.928533,13
豊田郡大崎上島町,toyotagunosakikamijimacho-town,34.215049,132.865658,13
