name,code,latitude,longitude,zoom
三笠市,mikasashi-city,43.277143,141.96267,13
上川郡上川町,kamikawagunkamikawacho-town,43.891171,142.982086,13
上川郡下川町,kamikawagunshimokawacho-town,44.304509,142.641838,13
上川郡剣淵町,kamikawagunkembuchicho-town,44.110272,142.345097,13
上川郡和寒町,kamikawagunwassamucho-town,44.010037,142.354153,13
上川郡当麻町,kamikawaguntomacho-town,43.824967,142.495141,13
上川郡愛別町,kamikawagunaibetsucho-town,43.891088,142.659319,13
上川郡新得町,kamikawagunshintokucho-town,43.136264,142.876958,13
上川郡東川町,kamikawagunhigashikawacho-town,43.705566,142.542119,13
上川郡東神楽町,kamikawagunhigashikaguracho-town,43.712939,142.422489,13
上川郡比布町,kamikawagunpippucho-town,43.895453,142.510299,13
上川郡清水町,kamikawagunshimizucho-town,43.080331,142.952468,13
上川郡美瑛町,kamikawagunbieicho-town,43.575234,142.460683,13
上川郡鷹栖町,kamikawaguntakasucho-town,43.841298,142.382647,13
上磯郡木古内町,kamiisogunkikonaicho-town,41.710262,140.395931,13
上磯郡知内町,kamiisogunshiriuchicho-town,41.584746,140.362804,13
中川郡中川町,nakagawagunnakagawacho-town,44.825611,142.096064,13
中川郡幕別町,nakagawagunmakubetsucho-town,42.726787,143.313928,13
中川郡本別町,nakagawagunhombetsucho-town,43.102285,143.492998,13
中川郡池田町,nakagawagunikedacho-town,43.018442,143.400886,13
中川郡美深町,nakagawagunbifukacho-town,44.531017,142.5486,13
中川郡豊頃町,nakagawaguntoyokorocho-town,42.702299,143.662039,13
中川郡音威子府村,nakagawagunotoineppumura-village,44.787785,142.228355,13
久遠郡せたな町,kudogunsetanacho-town,42.396773,139.913184,13
亀田郡七飯町,kamedagunnanaecho-town,41.923775,140.697787,13
二海郡八雲町,futamigunyakumocho-town,42.091043,140.127177,13
伊達市,dateshi-city,42.465988,140.867344,13
余市郡仁木町,yoichigunnikicho-town,43.122335,140.779344,13
余市郡余市町,yoichigunyoichicho-town,43.193712,140.780153,13
余市郡赤井川村,yoichigunakaigawamura-village,43.077281,140.827116,13
函館市,hakodateshi-city,41.892755,140.806255,13
利尻郡利尻富士町,rishirigunrishirifujicho-town,45.222094,141.219863,13
利尻郡利尻町,rishirigunrishiricho-town,45.187521,141.148816,13
勇払郡むかわ町,yufutsugunmukawacho-town,42.585475,141.927808,13
勇払郡占冠村,yufutsugunshimukappumura-village,42.988823,142.398474,13
勇払郡厚真町,yufutsugunatsumacho-town,42.631641,141.848324,13
勇払郡安平町,yufutsugunabiracho-town,42.816856,141.82393,13
北広島市,kitahiroshimashi-city,42.97227,141.5635,13
北斗市,hokutoshi-city,41.802159,140.617188,13
北見市,kitamishi-city,44.093795,144.044459,13
十勝郡浦幌町,tokachigunurahorocho-town,42.717266,143.617496,13
千歳市,chitoseshi-city,42.802866,141.41406,13
厚岸郡厚岸町,akkeshigunakkeshicho-town,43.091075,144.7583,13
厚岸郡浜中町,akkeshigunhamanakacho-town,43.219663,145.067923,13
古宇郡泊村,furuguntomarimura-village,43.070243,140.542317,13
古宇郡神恵内村,furugunkamoenaimura-village,43.229943,140.372318,13
古平郡古平町,furubiragunfurubiracho-town,43.281363,140.640493,13
名寄市,nayoroshi-city,44.328884,142.425271,13
増毛郡増毛町,mashikegunmashikecho-town,43.871273,141.630987,13
士別市,shibetsushi-city,44.157118,142.400816,13
夕張市,yubarishi-city,43.008553,142.06207,13
夕張郡栗山町,yubarigunkuriyamacho-town,43.02698,141.78796,13
夕張郡由仁町,yubarigunyunicho-town,42.988172,141.829618,13
夕張郡長沼町,yubarigunnaganumacho-town,43.016889,141.743334,13
天塩郡天塩町,teshiogunteshiocho-town,44.93981,141.822185,13
天塩郡幌延町,teshiogunhoronobecho-town,45.042873,142.066159,13
天塩郡豊富町,teshioguntoyotomicho-town,45.104697,141.788423,13
天塩郡遠別町,teshiogunembetsucho-town,44.687299,141.926429,13
奥尻郡奥尻町,okushirigunokushiricho-town,42.170699,139.491111,13
宗谷郡猿払村,soyagunsarufutsumura-village,45.212723,142.221329,13
室蘭市,muroranshi-city,42.3855,140.936264,13
富良野市,furanoshi-city,43.3548,142.556961,13
寿都郡寿都町,suttsugunsuttsucho-town,42.780091,140.227838,13
寿都郡黒松内町,suttsugunkuromatsunaicho-town,42.717848,140.231583,13
小樽市,otarushi-city,43.191426,141.004925,13
山越郡長万部町,yamakoshigunoshamambecho-town,42.47777,140.34537,13
岩内郡共和町,iwanaigunkyowacho-town,42.939899,140.550661,13
岩内郡岩内町,iwanaiguniwanaicho-town,42.983676,140.514582,13
岩見沢市,iwamizawashi-city,43.192858,141.775307,13
島牧郡島牧村,shimamakigunshimamakimura-village,42.675485,139.993557,13
川上郡弟子屈町,kawakamigunteshikagacho-town,43.610507,144.456936,13
川上郡標茶町,kawakamigunshibechacho-town,43.155967,144.502237,13
帯広市,obihiroshi-city,42.787082,143.06174,13
常呂郡佐呂間町,tokorogunsaromacho-town,43.966914,143.713877,13
常呂郡置戸町,tokorogunoketocho-town,43.668152,143.543927,13
常呂郡訓子府町,tokorogunkunneppucho-town,43.733629,143.687598,13
幌泉郡えりも町,horoizumigunerimocho-town,41.974623,143.226716,13
広尾郡大樹町,hiroguntaikicho-town,42.499041,143.301335,13
広尾郡広尾町,hirogunhirocho-town,42.370589,143.358005,13
恵庭市,eniwashi-city,42.880707,141.586875,13
斜里郡小清水町,sharigunkoshimizucho-town,43.740139,144.431536,13
斜里郡斜里町,sharigunsharicho-town,44.20071,145.239501,13
斜里郡清里町,sharigunkiyosatocho-town,43.846274,144.577611,13
新冠郡新冠町,niikappugunniikappucho-town,42.415612,142.41815,13
日高郡新ひだか町,hidakagunshinhidakacho-town,42.351402,142.629581,13
旭川市,asahikawashi-city,43.806261,142.335924,13
有珠郡壮瞥町,usugunsobetsucho-town,42.593383,141.007242,13
札幌市中央区,sapporoshichuoku-ward,43.04223,141.319722,13
札幌市北区,sapporoshikitaku-ward,43.157077,141.39018,13
札幌市南区,sapporoshiminamiku-ward,42.979953,141.340793,13
札幌市厚別区,sapporoshiatsubetsuku-ward,43.033189,141.471776,13
札幌市手稲区,sapporoshiteineku-ward,43.145554,141.239503,13
札幌市東区,sapporoshihigashiku-ward,43.069887,141.394781,13
札幌市清田区,sapporoshikiyotaku-ward,42.932893,141.416259,13
札幌市白石区,sapporoshishiroishiku-ward,43.046881,141.39899,13
札幌市西区,sapporoshinishiku-ward,43.079715,141.308758,13
札幌市豊平区,sapporoshitoyohiraku-ward,43.049506,141.365176,13
松前郡松前町,matsumaegunmatsumaecho-town,41.479276,140.145887,13
松前郡福島町,matsumaegunfukushimacho-town,41.508289,140.253472,13
枝幸郡中頓別町,esashigunnakatombetsucho-town,44.852695,142.274425,13
枝幸郡枝幸町,esashigunesashicho-town,44.937051,142.51172,13
枝幸郡浜頓別町,esashigunhamatombetsucho-town,45.125582,142.297561,13
根室市,nemuroshi-city,43.421445,146.068617,13
様似郡様似町,samanigunsamanicho-town,42.108858,143.011941,13
標津郡中標津町,shibetsugunnakashibetsucho-town,43.511639,144.763649,13
標津郡標津町,shibetsugunshibetsucho-town,43.680797,145.104109,13
樺戸郡新十津川町,kabatogunshintotsukawacho-town,43.639114,141.678704,13
樺戸郡月形町,kabatoguntsukigatacho-town,43.339663,141.617018,13
樺戸郡浦臼町,kabatogunurausucho-town,43.479323,141.781487,13
檜山郡上ノ国町,hiyamagunkaminokunicho-town,41.802894,140.10861,13
檜山郡厚沢部町,hiyamagunassabucho-town,41.90271,140.257974,13
檜山郡江差町,hiyamagunesashicho-town,41.865521,140.12392,13
歌志内市,utashinaishi-city,43.508828,142.07319,13
江別市,ebetsushi-city,43.116387,141.560217,13
沙流郡平取町,sarugunbiratoricho-town,42.635429,142.178393,13
沙流郡日高町,sarugunhidakacho-town,42.591337,142.388254,13
河東郡上士幌町,katogunkamishihorocho-town,43.379735,143.164639,13
河東郡士幌町,katogunshihorocho-town,43.126471,143.354112,13
河東郡音更町,katogunotofukecho-town,43.012336,143.131794,13
河東郡鹿追町,katogunshikaoicho-town,43.164683,142.964841,13
河西郡中札内村,kasaigunnakasatsunaimura-village,42.627062,143.09167,13
河西郡更別村,kasaigunsarabetsumura-village,42.606423,143.244889,13
河西郡芽室町,kasaigunmemurocho-town,42.794121,143.02179,13
浦河郡浦河町,urakawagunurakawacho-town,42.236923,142.82396,13
深川市,fukagawashi-city,43.722666,142.047411,13
滝川市,takikawashi-city,43.566745,141.882097,13
瀬棚郡今金町,setanagunimakanecho-town,42.406828,140.153507,13
爾志郡乙部町,nishigunotobecho-town,42.034298,140.107757,13
留萌市,rumoishi-city,43.861254,141.706942,13
留萌郡小平町,rumoigunobiracho-town,44.049758,141.809233,13
登別市,noboribetsushi-city,42.398287,141.080418,13
白糠郡白糠町,shiranukagunshiranukacho-town,43.006523,144.052284,13
白老郡白老町,shiraoigunshiraoicho-town,42.546464,141.235816,13
目梨郡羅臼町,menashigunrausucho-town,44.186819,145.317394,13
石狩市,ishikarishi-city,43.256763,141.406892,13
石狩郡当別町,ishikariguntobetsucho-town,43.240378,141.473262,13
石狩郡新篠津村,ishikarigunshinshinotsumura-village,43.206845,141.635256,13
砂川市,sunagawashi-city,43.491667,141.896035,13
磯谷郡蘭越町,isoyagunrankoshicho-town,42.82805,140.466813,13
礼文郡礼文町,rebungunrebuncho-town,45.391637,141.001554,13
稚内市,wakkanaishi-city,45.299825,141.834911,13
