name,code,latitude,longitude,zoom
たつの市,tatsunoshi-city,34.887892,134.496281,13
三木市,mikishi-city,34.816117,134.987746,13
三田市,sandashi-city,34.882719,135.229126,13
丹波市,tambashi-city,35.134976,135.044857,13
丹波篠山市,tambasasayamashi-city,35.073478,135.288931,13
伊丹市,itamishi-city,34.781177,135.425528,13
佐用郡佐用町,sayogunsayocho-town,35.012089,134.373197,13
加古川市,kakogawashi-city,34.826528,134.858306,13
加古郡播磨町,kakogunharimacho-town,34.72642,134.876882,13
加古郡稲美町,kakoguninamicho-town,34.739923,134.947356,13
加東市,katoshi-city,34.937822,135.088996,13
加西市,kasaishi-city,34.938524,134.899894,13
南あわじ市,minamiawajishi-city,34.246561,134.75665,13
多可郡多可町,takaguntakacho-town,35.133276,134.882404,13
姫路市,himejishi-city,34.89077,134.640228,13
宍粟市,shisoshi-city,35.075656,134.599343,13
宝塚市,takarazukashi-city,34.796466,135.333898,13
小野市,onoshi-city,34.876047,134.915918,13
尼崎市,amagasakishi-city,34.762842,135.438996,13
川西市,kawanishishi-city,34.870466,135.376217,13
川辺郡猪名川町,kawabeguninagawacho-town,34.969218,135.334938,13
揖保郡太子町,iboguntaishicho-town,34.837222,134.565056,13
明石市,akashishi-city,34.644597,134.999313,13
朝来市,asagoshi-city,35.271308,134.82331,13
洲本市,sumotoshi-city,34.25942,134.888341,13
淡路市,awajishi-city,34.450669,134.83636,13
相生市,aioishi-city,34.903259,134.452348,13
神崎郡市川町,kanzakigunichikawacho-town,35.037322,134.761202,13
神崎郡神河町,kanzakigunkamikawacho-town,35.060447,134.726644,13
神崎郡福崎町,kanzakigunfukusakicho-town,34.958812,134.75573,13
神戸市中央区,kobeshichuoku-ward,34.681967,135.179533,13
神戸市兵庫区,kobeshihyogoku-ward,34.652053,135.177286,13
神戸市北区,kobeshikitaku-ward,34.766144,135.152369,13
神戸市垂水区,kobeshitarumiku-ward,34.646032,135.042263,13
神戸市東灘区,kobeshihigashinadaku-ward,34.739053,135.283792,13
神戸市灘区,kobeshinadaku-ward,34.711859,135.21357,13
神戸市西区,kobeshinishiku-ward,34.661781,134.982375,13
神戸市長田区,kobeshinagataku-ward,34.672416,135.137913,13
神戸市須磨区,kobeshisumaku-ward,34.649323,135.134832,13
美方郡新温泉町,mikatagunshinonsencho-town,35.646591,134.492799,13
美方郡香美町,mikatagunkamicho-town,35.440709,134.543346,13
芦屋市,ashiyashi-city,34.756349,135.301512,13
西宮市,nishinomiyashi-city,34.784426,135.295636,13
西脇市,nishiwakishi-city,34.988126,134.929086,13
豊岡市,toyokashi-city,35.50026,134.820684,13
赤穂市,akoshi-city,34.750511,134.348181,13
赤穂郡上郡町,akogunkamigoricho-town,34.878832,134.396272,13
養父市,yabushi-city,35.384783,134.776265,13
高砂市,takasagoshi-city,34.773779,134.809489,13
