name,code,latitude,longitude,zoom
かすみがうら市,kasumigaurashi-city,36.077705,140.341613,13
つくばみらい市,tsukubamiraishi-city,35.994579,140.030752,13
つくば市,tsukubashi-city,36.072624,140.038812,13
ひたちなか市,hitachinakashi-city,36.351873,140.603158,13
下妻市,shimotsumashi-city,36.227972,139.976149,13
久慈郡大子町,kujigundaigomachi-town,36.773315,140.331667,13
北相馬郡利根町,kitasomaguntonemachi-town,35.871695,140.137366,13
北茨城市,kitaibarakishi-city,36.830983,140.80136,13
取手市,torideshi-city,35.897057,140.084797,13
古河市,kogashi-city,36.197117,139.72136,13
土浦市,tsuchiurashi-city,36.065893,140.174972,13
坂東市,bandoshi-city,36.110153,139.906292,13
守谷市,moriyashi-city,35.956983,140.008045,13
小美玉市,omitamashi-city,36.206582,140.407295,13
常総市,jososhi-city,36.055025,140.007071,13
常陸大宮市,hitachiomiyashi-city,36.535021,140.259254,13
常陸太田市,hitachiotashi-city,36.627376,140.450515,13
日立市,hitachishi-city,36.581847,140.659725,13
東茨城郡城里町,higashiibarakigunshirosatomachi-town,36.437659,140.372182,13
東茨城郡大洗町,higashiibarakigunoaraimachi-town,36.321332,140.59018,13
東茨城郡茨城町,higashiibarakigunibarakimachi-town,36.295703,140.469808,13
桜川市,sakuragawashi-city,36.389899,140.151363,13
水戸市,mitoshi-city,36.394705,140.48046,13
潮来市,itakoshi-city,35.936508,140.547471,13
牛久市,ushikushi-city,35.965114,140.254378,13
猿島郡五霞町,sashimagungokamachi-town,36.102185,139.73773,13
猿島郡境町,sashimagunsakaimachi-town,36.08648,139.820201,13
石岡市,ishiokashi-city,36.189385,140.173117,13
神栖市,kamisushi-city,35.90089,140.636775,13
稲敷市,inashikishi-city,35.910022,140.422023,13
稲敷郡河内町,inashikigunkawachimachi-town,35.868255,140.253608,13
稲敷郡美浦村,inashikigunmihomura-village,36.023916,140.332,13
稲敷郡阿見町,inashikigunamimachi-town,36.008406,140.239644,13
笠間市,kasamashi-city,36.312881,140.365412,13
筑西市,chikuseishi-city,36.213049,140.005314,13
結城市,yukishi-city,36.207608,139.825727,13
結城郡八千代町,yukigunyachiyomachi-town,36.213106,139.873018,13
行方市,namegatashi-city,36.028024,140.514404,13
那珂市,nakashi-city,36.45705,140.458626,13
那珂郡東海村,nakaguntokaimura-village,36.482208,140.596227,13
鉾田市,hokotashi-city,36.177131,140.457945,13
高萩市,takahagishi-city,36.791304,140.566721,13
鹿嶋市,kashimashi-city,35.946643,140.636402,13
龍ヶ崎市,ryugasakishi-city,35.901739,140.173297,13
