name,code,latitude,longitude,zoom
かほく市,kahokushi-city,36.692635,136.690504,13
七尾市,nanaoshi-city,37.13483,136.793545,13
加賀市,kagashi-city,36.221752,136.461985,13
小松市,komatsushi-city,36.272102,136.560818,13
河北郡内灘町,kahokugunuchinadamachi-town,36.640364,136.646542,13
河北郡津幡町,kahokuguntsubatamachi-town,36.657286,136.764655,13
珠洲市,suzushi-city,37.438626,137.264129,13
白山市,hakusanshi-city,36.455086,136.63971,13
羽咋市,hakuishi-city,36.922394,136.818396,13
羽咋郡宝達志水町,hakuigunhodatsushimizucho-town,36.791269,136.778056,13
羽咋郡志賀町,hakuigunshikamachi-town,37.188471,136.736021,13
能美市,nomishi-city,36.441906,136.598053,13
能美郡川北町,nomigunkawakitamachi-town,36.464769,136.57203,13
輪島市,wajimashi-city,37.339129,136.845576,13
野々市市,nonoichishi-city,36.510221,136.612654,13
金沢市,kanazawashi-city,36.556854,136.658046,13
鳳珠郡穴水町,hosugunanamizumachi-town,37.255672,136.913649,13
鳳珠郡能登町,hosugunnotocho-town,37.267687,137.084303,13
鹿島郡中能登町,kashimagunnakanotomachi-town,36.938542,136.903142,13
