name,code,latitude,longitude,zoom
一関市,ichinosekishi-city,38.932547,141.139792,13
上閉伊郡大槌町,kamiheigunotsuchicho-town,39.459542,141.777384,13
下閉伊郡山田町,shimoheigunyamadamachi-town,39.539248,141.835275,13
下閉伊郡岩泉町,shimoheiguniwaizumicho-town,39.809125,141.711972,13
下閉伊郡普代村,shimoheigunfudaimura-village,39.990149,141.928282,13
下閉伊郡田野畑村,shimoheiguntanohatamura-village,39.957441,141.915631,13
久慈市,kujishi-city,40.190264,141.77109,13
九戸郡九戸村,kunohegunkunohemura-village,40.196815,141.457605,13
九戸郡洋野町,kunohegunhironocho-town,40.339829,141.602408,13
九戸郡軽米町,kunohegunkarumaimachi-town,40.328742,141.522893,13
九戸郡野田村,kunohegunnodamura-village,40.052976,141.815543,13
二戸市,ninoheshi-city,40.243094,141.215237,13
二戸郡一戸町,ninohegunichinohemachi-town,40.161251,141.336756,13
八幡平市,hachimantaishi-city,40.125867,141.08752,13
北上市,kitakamishi-city,39.249061,141.091612,13
和賀郡西和賀町,wagagunnishiwagamachi-town,39.314182,140.82617,13
大船渡市,ofunatoshi-city,39.057747,141.75258,13
奥州市,oshushi-city,39.129209,141.19608,13
宮古市,miyakoshi-city,39.645709,141.356334,13
岩手郡岩手町,iwateguniwatemachi-town,40.014401,141.177735,13
岩手郡葛巻町,iwategunkuzumakimachi-town,39.978636,141.509963,13
岩手郡雫石町,iwategunshizukuishicho-town,39.682157,140.991925,13
気仙郡住田町,kesengunsumitacho-town,39.218929,141.631505,13
滝沢市,takizawashi-city,39.726961,141.055788,13
盛岡市,moriokashi-city,39.692006,141.06424,13
紫波郡矢巾町,shiwagunyahabacho-town,39.621106,141.134661,13
紫波郡紫波町,shiwagunshiwacho-town,39.537107,141.246917,13
胆沢郡金ケ崎町,isawagunkanegasakicho-town,39.158154,140.972985,13
花巻市,hanamakishi-city,39.369417,141.124217,13
西磐井郡平泉町,nishiiwaigunhiraizumicho-town,38.990173,141.155797,13
遠野市,tonoshi-city,39.31283,141.560188,13
釜石市,kamaishishi-city,39.236727,141.900671,13
陸前高田市,rikuzentakatashi-city,38.997881,141.693076,13
