name,code,latitude,longitude,zoom
さぬき市,sanukishi-city,34.239052,134.259397,13
三豊市,mitoyoshi-city,34.113704,133.795876,13
丸亀市,marugameshi-city,34.316599,133.79226,13
仲多度郡まんのう町,nakatadogunmannocho-town,34.162006,133.835161,13
仲多度郡多度津町,nakatadoguntadotsucho-town,34.250745,133.756975,13
仲多度郡琴平町,nakatadogunkotohiracho-town,34.187433,133.815919,13
善通寺市,zentsujishi-city,34.219909,133.790498,13
坂出市,sakaideshi-city,34.307609,133.85252,13
小豆郡土庄町,shozuguntonoshocho-town,34.47675,134.160292,13
小豆郡小豆島町,shozugunshodoshimacho-town,34.522354,134.345634,13
木田郡三木町,kitagunmikicho-town,34.245662,134.145333,13
東かがわ市,higashikagawashi-city,34.236596,134.37952,13
綾歌郡宇多津町,ayautagunutazucho-town,34.291983,133.834634,13
綾歌郡綾川町,ayautagunayagawacho-town,34.218657,133.937632,13
観音寺市,kanonjishi-city,34.13187,133.642966,13
香川郡直島町,kagawagunnaoshimacho-town,34.464197,133.989145,13
高松市,takamatsushi-city,34.177491,134.05588,13
