name,code,latitude,longitude,zoom
いちき串木野市,ichikikushikinoshi-city,31.756679,130.205879,13
伊佐市,isashi-city,32.080796,130.679794,13
出水市,izumishi-city,32.113828,130.324091,13
出水郡長島町,izumigunnagashimacho-town,32.203657,130.161927,13
南さつま市,minamisatsumashi-city,31.424854,130.323126,13
南九州市,minamikyushushi-city,31.30756,130.465004,13
垂水市,tarumizushi-city,31.48965,130.698157,13
大島郡与論町,oshimagunyoroncho-town,27.043148,128.446161,13
大島郡伊仙町,oshimagunisencho-town,27.713823,128.961385,13
大島郡和泊町,oshimagunwadomaricho-town,27.395849,128.582427,13
大島郡喜界町,oshimagunkikaicho-town,28.284231,129.946515,13
大島郡大和村,oshimagunyamatoson-village,28.31852,129.272936,13
大島郡天城町,oshimagunamagicho-town,27.880429,128.899116,13
大島郡宇検村,oshimagunukenson-village,28.287318,129.233644,13
大島郡徳之島町,oshimaguntokunoshimacho-town,27.77352,129.005143,13
大島郡瀬戸内町,oshimagunsetochicho-town,28.156831,129.271328,13
大島郡知名町,oshimagunchinacho-town,27.384129,128.572123,13
大島郡龍郷町,oshimaguntatsugocho-town,28.412793,129.629876,13
奄美市,amamishi-city,28.298842,129.477177,13
姶良市,airashi-city,31.726143,130.635031,13
姶良郡湧水町,airagunyusuicho-town,31.98132,130.690471,13
志布志市,shibushishi-city,31.533325,131.04874,13
指宿市,ibusukishi-city,31.247906,130.562714,13
日置市,hiokishi-city,31.637083,130.359361,13
曽於市,soshi-city,31.545156,130.944648,13
曽於郡大崎町,sogunosakicho-town,31.451036,131.00532,13
枕崎市,makurazakishi-city,31.264994,130.359852,13
熊毛郡中種子町,kumagegunnakatanecho-town,30.475122,130.908085,13
熊毛郡南種子町,kumagegunminamitanecho-town,30.396236,130.947847,13
熊毛郡屋久島町,kumagegunyakushimacho-town,30.305076,130.649554,13
肝属郡南大隅町,kimotsukigunminamiosumicho-town,31.088783,130.695882,13
肝属郡東串良町,kimotsukigunhigashikushiracho-town,31.391889,130.968909,13
肝属郡肝付町,kimotsukigunkimotsukicho-town,31.28855,130.960961,13
肝属郡錦江町,kimotsukigunkinkocho-town,31.27608,130.827114,13
薩摩川内市,satsumasendaishi-city,31.777885,130.272309,13
薩摩郡さつま町,satsumagunsatsumacho-town,31.909089,130.454127,13
西之表市,nishinomoteshi-city,30.631215,131.034985,13
阿久根市,akuneshi-city,32.035026,130.208909,13
霧島市,kirishimashi-city,31.824185,130.859499,13
鹿児島市,kagoshimashi-city,31.57545,130.550582,13
鹿児島郡三島村,kagoshimagunmishimamura-village,30.790266,130.29334,13
鹿児島郡十島村,kagoshimaguntoshimamura-village,29.849652,129.866077,13
鹿屋市,kanoyashi-city,31.307682,130.898314,13
