name,code,latitude,longitude,zoom
三浦市,miurashi-city,35.150318,139.61767,13
三浦郡葉山町,miuragunhayamamachi-town,35.26866,139.589695,13
中郡二宮町,nakagunninomiyamachi-town,35.319944,139.243056,13
中郡大磯町,nakagunoisomachi-town,35.319942,139.278874,13
伊勢原市,iseharashi-city,35.413577,139.317794,13
南足柄市,minamiashigarashi-city,35.305105,139.059677,13
厚木市,atsugishi-city,35.426835,139.337906,13
大和市,yamatoshi-city,35.456388,139.454711,13
小田原市,odawarashi-city,35.279196,139.144301,13
川崎市中原区,kawasakishinakaharaku-ward,35.562932,139.643385,13
川崎市多摩区,kawasakishitamaku-ward,35.629363,139.564793,13
川崎市宮前区,kawasakishimiyamaeku-ward,35.578103,139.578515,13
川崎市川崎区,kawasakishikawasakiku-ward,35.506845,139.705012,13
川崎市幸区,kawasakishisaiwaiku-ward,35.542333,139.692625,13
川崎市高津区,kawasakishitakatsuku-ward,35.574581,139.625809,13
川崎市麻生区,kawasakishiasaoku-ward,35.586147,139.522268,13
平塚市,hiratsukashi-city,35.331099,139.34736,13
座間市,zamashi-city,35.48738,139.375107,13
愛甲郡愛川町,aikogunaikawamachi-town,35.509118,139.327741,13
愛甲郡清川村,aikogunkiyokawamura-village,35.484274,139.262291,13
横浜市中区,yokohamashinakaku-ward,35.445792,139.639661,13
横浜市保土ケ谷区,yokohamashihodogayaku-ward,35.489277,139.55702,13
横浜市南区,yokohamashiminamiku-ward,35.430505,139.598494,13
横浜市戸塚区,yokohamashitotsukaku-ward,35.421816,139.545584,13
横浜市旭区,yokohamashiasahiku-ward,35.460429,139.561811,13
横浜市栄区,yokohamashisakaeku-ward,35.363498,139.537961,13
横浜市泉区,yokohamashiizumiku-ward,35.445449,139.518684,13
横浜市港北区,yokohamashikohokuku-ward,35.520156,139.63125,13
横浜市港南区,yokohamashikonanku-ward,35.409925,139.593681,13
横浜市瀬谷区,yokohamashiseyaku-ward,35.471715,139.486819,13
横浜市磯子区,yokohamashiisogoku-ward,35.41199,139.627157,13
横浜市神奈川区,yokohamashikanagawaku-ward,35.471299,139.629007,13
横浜市緑区,yokohamashimidoriku-ward,35.509773,139.542986,13
横浜市西区,yokohamashinishiku-ward,35.442951,139.621182,13
横浜市都筑区,yokohamashitsuzukiku-ward,35.568492,139.566995,13
横浜市金沢区,yokohamashikanazawaku-ward,35.329056,139.596045,13
横浜市青葉区,yokohamashiaobaku-ward,35.545494,139.518221,13
横浜市鶴見区,yokohamashitsurumiku-ward,35.501881,139.696857,13
横須賀市,yokosukashi-city,35.25005,139.595947,13
海老名市,ebinashi-city,35.457576,139.392298,13
相模原市中央区,sagamiharashichuoku-ward,35.5652,139.386963,13
相模原市南区,sagamiharashiminamiku-ward,35.525357,139.428989,13
相模原市緑区,sagamiharashimidoriku-ward,35.603162,139.327102,13
秦野市,hadanoshi-city,35.447476,139.204977,13
綾瀬市,ayaseshi-city,35.452162,139.435339,13
茅ヶ崎市,chigasakishi-city,35.354603,139.431798,13
藤沢市,fujisawashi-city,35.340345,139.491911,13
足柄上郡中井町,ashigarakamigunnakaimachi-town,35.337848,139.23278,13
足柄上郡大井町,ashigarakamigunoimachi-town,35.332826,139.186144,13
足柄上郡山北町,ashigarakamigunyamakitamachi-town,35.413404,139.042582,13
足柄上郡松田町,ashigarakamigunmatsudamachi-town,35.350289,139.157257,13
足柄上郡開成町,ashigarakamigunkaiseimachi-town,35.327166,139.127223,13
足柄下郡湯河原町,ashigarashimogunyugawaramachi-town,35.170764,139.075554,13
足柄下郡真鶴町,ashigarashimogunmanazurumachi-town,35.172453,139.131667,13
足柄下郡箱根町,ashigarashimogunhakonemachi-town,35.219776,139.043487,13
逗子市,zushishi-city,35.310647,139.592512,13
鎌倉市,kamakurashi-city,35.304045,139.525579,13
高座郡寒川町,kozagunsamukawamachi-town,35.365845,139.37102,13
