name,code,latitude,longitude,zoom
南国市,nankokushi-city,33.567669,133.648692,13
吾川郡いの町,agawaguninocho-town,33.665629,133.3933,13
吾川郡仁淀川町,agawagunniyodogawacho-town,33.569927,133.156807,13
四万十市,shimantoshi-city,33.148192,132.653973,13
土佐市,tosashi-city,33.457011,133.375914,13
土佐清水市,tosashimizushi-city,32.781344,132.960542,13
土佐郡土佐町,tosaguntosacho-town,33.677496,133.550055,13
土佐郡大川村,tosagunokawamura-village,33.816482,133.47142,13
安芸市,akishi-city,33.521629,133.829528,13
安芸郡北川村,akigunkitagawamura-village,33.575118,134.125995,13
安芸郡奈半利町,akigunnaharicho-town,33.42695,134.040277,13
安芸郡安田町,akigunyasudacho-town,33.497945,134.015104,13
安芸郡東洋町,akiguntoyocho-town,33.549737,134.273154,13
安芸郡田野町,akiguntanocho-town,33.447243,134.016141,13
安芸郡芸西村,akigungeiseimura-village,33.544525,133.815667,13
安芸郡馬路村,akigunumajimura-village,33.58627,134.052818,13
室戸市,murotoshi-city,33.297117,134.145466,13
宿毛市,sukumoshi-city,32.942615,132.716337,13
幡多郡三原村,hatagunmiharamura-village,32.909227,132.862025,13
幡多郡大月町,hatagunotsukicho-town,32.786652,132.650513,13
幡多郡黒潮町,hatagunkuroshiocho-town,33.111896,133.079568,13
長岡郡大豊町,nagaokagunotoyocho-town,33.724195,133.6925,13
長岡郡本山町,nagaokagunmotoyamacho-town,33.754753,133.602776,13
須崎市,susakishi-city,33.391791,133.289838,13
香南市,konanshi-city,33.569157,133.724074,13
香美市,kamishi-city,33.616951,133.72037,13
高岡郡中土佐町,takaokagunnakatosacho-town,33.385713,133.170017,13
高岡郡佐川町,takaokagunsakawacho-town,33.497224,133.211133,13
高岡郡四万十町,takaokagunshimantocho-town,33.294442,133.112547,13
高岡郡日高村,takaokagunhidakamura-village,33.550678,133.327644,13
高岡郡檮原町,takaokagunyusuharacho-town,33.394677,132.931113,13
高岡郡津野町,takaokaguntsunocho-town,33.450002,133.231841,13
高岡郡越知町,takaokagunochicho-town,33.508592,133.205127,13
高知市,kochishi-city,33.537656,133.484459,13
