name,code,latitude,longitude,zoom
上天草市,kamiamakusashi-city,32.563691,130.472053,13
上益城郡嘉島町,kamimashikigunkashimamachi-town,32.742807,130.73237,13
上益城郡山都町,kamimashikigunyamatocho-town,32.67331,131.103918,13
上益城郡御船町,kamimashikigunmifunemachi-town,32.721974,130.869598,13
上益城郡甲佐町,kamimashikigunkosamachi-town,32.649519,130.831009,13
上益城郡益城町,kamimashikigunmashikimachi-town,32.802857,130.862148,13
下益城郡美里町,shimomashikigunmisatomachi-town,32.591853,130.830542,13
人吉市,hitoyoshishi-city,32.212048,130.768683,13
八代市,yatsushiroshi-city,32.468671,130.594538,13
八代郡氷川町,yatsushirogunhikawacho-town,32.60065,130.657722,13
合志市,koshishi-city,32.90956,130.762844,13
天草市,amakusashi-city,32.491004,130.195017,13
天草郡苓北町,amakusagunreihokumachi-town,32.489286,130.0555,13
宇土市,utoshi-city,32.653843,130.514998,13
宇城市,ukishi-city,32.59388,130.701085,13
山鹿市,yamagashi-city,33.014657,130.649824,13
水俣市,minamatashi-city,32.208831,130.407384,13
熊本市中央区,kumamotoshichuoku-ward,32.779801,130.698187,13
熊本市北区,kumamotoshikitaku-ward,32.834329,130.735793,13
熊本市南区,kumamotoshiminamiku-ward,32.74865,130.6938,13
熊本市東区,kumamotoshihigashiku-ward,32.766312,130.744971,13
熊本市西区,kumamotoshinishiku-ward,32.824913,130.695722,13
玉名市,tamanashi-city,32.965376,130.577607,13
玉名郡南関町,tamanagunnankanmachi-town,33.009635,130.554202,13
玉名郡和水町,tamanagunnagomimachi-town,33.066275,130.62815,13
玉名郡玉東町,tamanagungyokutomachi-town,32.920457,130.631852,13
玉名郡長洲町,tamanagunnagasumachi-town,32.910455,130.474229,13
球磨郡あさぎり町,kumagunasagiricho-town,32.223893,130.901456,13
球磨郡五木村,kumagunitsukimura-village,32.445803,130.796072,13
球磨郡多良木町,kumaguntaragimachi-town,32.239362,130.983694,13
球磨郡山江村,kumagunyamaemura-village,32.319282,130.740722,13
球磨郡水上村,kumagunmizukamimura-village,32.337593,130.970974,13
球磨郡球磨村,kumagunkumamura-village,32.228271,130.618148,13
球磨郡相良村,kumagunsagaramura-village,32.312054,130.858354,13
球磨郡錦町,kumagunnishikimachi-town,32.185682,130.859949,13
荒尾市,araoshi-city,32.983817,130.462569,13
菊池市,kikuchishi-city,32.943212,130.794728,13
菊池郡大津町,kikuchigunozumachi-town,32.862214,130.854839,13
菊池郡菊陽町,kikuchigunkikuyomachi-town,32.860469,130.840055,13
葦北郡津奈木町,ashikitaguntsunagimachi-town,32.246919,130.468136,13
葦北郡芦北町,ashikitagunashikitamachi-town,32.370173,130.609043,13
阿蘇市,asoshi-city,32.918632,131.240539,13
阿蘇郡南小国町,asogunminamiogunimachi-town,33.071493,131.037276,13
阿蘇郡南阿蘇村,asogunminamiasomura-village,32.848353,131.075079,13
阿蘇郡小国町,asogunogunimachi-town,33.116321,131.122837,13
阿蘇郡産山村,asogunubuyamamura-village,32.980413,131.221344,13
阿蘇郡西原村,asogunnishiharamura-village,32.81476,130.94932,13
阿蘇郡高森町,asoguntakamorimachi-town,32.866133,131.156675,13
