name,code,latitude,longitude,zoom
与謝郡与謝野町,yosagunyosanocho-town,35.517969,135.090484,13
与謝郡伊根町,yosaguninecho-town,35.671151,135.297469,13
久世郡久御山町,kusegunkumiyamacho-town,34.89508,135.759142,13
乙訓郡大山崎町,otokunigunoyamazakicho-town,34.903588,135.701004,13
亀岡市,kameokashi-city,35.005462,135.512808,13
京丹後市,kyotangoshi-city,35.725863,135.13662,13
京田辺市,kyotanabeshi-city,34.801333,135.776196,13
京都市上京区,kyotoshikamigyoku-ward,35.027847,135.746002,13
京都市下京区,kyotoshishimogyoku-ward,35.002973,135.764009,13
京都市中京区,kyotoshinakagyoku-ward,34.999954,135.73569,13
京都市伏見区,kyotoshifushimiku-ward,34.934842,135.738999,13
京都市北区,kyotoshikitaku-ward,35.075936,135.747963,13
京都市南区,kyotoshiminamiku-ward,34.964409,135.750658,13
京都市右京区,kyotoshiukyoku-ward,35.037029,135.67849,13
京都市山科区,kyotoshiyamashinaku-ward,34.995517,135.815139,13
京都市左京区,kyotoshisakyoku-ward,35.052575,135.82041,13
京都市東山区,kyotoshihigashiyamaku-ward,34.978058,135.777137,13
京都市西京区,kyotoshinishikyoku-ward,34.988673,135.674332,13
八幡市,yawatashi-city,34.87099,135.737444,13
南丹市,nantanshi-city,35.083306,135.523367,13
向日市,mukoshi-city,34.941289,135.711548,13
城陽市,joyoshi-city,34.828578,135.821105,13
宇治市,ujishi-city,34.933415,135.797083,13
宮津市,miyazushi-city,35.540881,135.178843,13
木津川市,kizugawashi-city,34.723277,135.824261,13
相楽郡南山城村,sorakugunminamiyamashiromura-village,34.778164,136.005921,13
相楽郡和束町,sorakugunwazukacho-town,34.775148,135.887132,13
相楽郡笠置町,sorakugunkasagicho-town,34.767963,135.927834,13
相楽郡精華町,sorakugunseikacho-town,34.775753,135.783289,13
福知山市,fukuchiyamashi-city,35.331165,135.156912,13
綴喜郡井手町,tsuzukigunidecho-town,34.800551,135.818137,13
綴喜郡宇治田原町,tsuzukigunujitawaracho-town,34.832855,135.862228,13
綾部市,ayabeshi-city,35.301389,135.250709,13
舞鶴市,maizurushi-city,35.429017,135.33213,13
船井郡京丹波町,funaigunkyotambacho-town,35.251573,135.37677,13
長岡京市,nagaokakyoshi-city,34.937151,135.676083,13
