name,code,latitude,longitude,zoom
いなべ市,inabeshi-city,35.110331,136.563477,13
三重郡川越町,miegunkawagoecho-town,35.028618,136.692969,13
三重郡朝日町,miegunasahicho-town,35.035443,136.645787,13
三重郡菰野町,miegunkomonocho-town,35.020682,136.543774,13
亀山市,kameyamashi-city,34.869116,136.45795,13
伊勢市,iseshi-city,34.462942,136.71743,13
伊賀市,igashi-city,34.868503,136.172631,13
北牟婁郡紀北町,kitamurogunkihokucho-town,34.144316,136.145435,13
南牟婁郡御浜町,minamimurogunmihamacho-town,33.831648,136.03086,13
南牟婁郡紀宝町,minamimurogunkihocho-town,33.732504,135.964624,13
名張市,nabarishi-city,34.653637,136.108744,13
員弁郡東員町,inabeguntoincho-town,35.057238,136.597147,13
四日市市,yokkaichishi-city,34.938891,136.610669,13
多気郡多気町,takiguntakicho-town,34.519128,136.56702,13
多気郡大台町,takigunodaicho-town,34.419273,136.45838,13
多気郡明和町,takigunmeiwacho-town,34.518022,136.594541,13
尾鷲市,owaseshi-city,34.072545,136.181405,13
度会郡南伊勢町,wataraigunminamiisecho-town,34.260002,136.595635,13
度会郡大紀町,wataraiguntaikicho-town,34.334242,136.420146,13
度会郡度会町,wataraigunwataraicho-town,34.428338,136.589764,13
度会郡玉城町,wataraiguntamakicho-town,34.511057,136.640644,13
志摩市,shimashi-city,34.348085,136.763736,13
松阪市,matsusakashi-city,34.560537,136.504433,13
桑名市,kuwanashi-city,35.162513,136.646203,13
桑名郡木曽岬町,kuwanagunkisosakicho-town,35.064799,136.742445,13
津市,tsushi-city,34.698419,136.512153,13
熊野市,kumanoshi-city,33.988403,136.108446,13
鈴鹿市,suzukashi-city,34.872724,136.586665,13
鳥羽市,tobashi-city,34.476952,136.836214,13
