name,code,latitude,longitude,zoom
亘理郡亘理町,watarigunwataricho-town,38.02646,140.863654,13
亘理郡山元町,watarigunyamamotocho-town,37.955162,140.876304,13
仙台市太白区,sendaishitaihakuku-ward,38.240266,140.856149,13
仙台市宮城野区,sendaishimiyaginoku-ward,38.288762,140.8964,13
仙台市泉区,sendaishiizumiku-ward,38.33931,140.889459,13
仙台市若林区,sendaishiwakabayashiku-ward,38.233649,140.955872,13
仙台市青葉区,sendaishiaobaku-ward,38.309684,140.650243,13
伊具郡丸森町,igugunmarumorimachi-town,37.914436,140.756365,13
刈田郡七ヶ宿町,kattagunshichikashukumachi-town,38.015009,140.46403,13
刈田郡蔵王町,kattagunzaomachi-town,38.118916,140.630146,13
加美郡加美町,kamigunkamimachi-town,38.566631,140.869369,13
加美郡色麻町,kamigunshikamacho-town,38.534918,140.856664,13
名取市,natorishi-city,38.15856,140.863748,13
塩竈市,shiogamashi-city,38.341775,141.018031,13
多賀城市,tagajoshi-city,38.30417,140.961389,13
大崎市,osakishi-city,38.586634,140.949843,13
宮城郡七ヶ浜町,miyagigunshichigahamamachi-town,38.29958,141.044673,13
宮城郡利府町,miyagigunrifucho-town,38.334541,140.964624,13
宮城郡松島町,miyagigunmatsushimamachi-town,38.38788,141.079564,13
富谷市,tomiyashi-city,38.3491,140.90896,13
岩沼市,iwanumashi-city,38.121196,140.868485,13
本吉郡南三陸町,motoyoshigunminamisanrikucho-town,38.693618,141.397658,13
東松島市,higashimatsushimashi-city,38.428403,141.218819,13
柴田郡大河原町,shibatagunogawaramachi-town,38.036985,140.731042,13
柴田郡川崎町,shibatagunkawasakimachi-town,38.204194,140.53572,13
柴田郡村田町,shibatagunmuratamachi-town,38.122395,140.750078,13
柴田郡柴田町,shibatagunshibatamachi-town,38.05743,140.792182,13
栗原市,kuriharashi-city,38.740127,141.075383,13
気仙沼市,kesennumashi-city,38.843204,141.642187,13
牡鹿郡女川町,oshikagunonagawacho-town,38.404361,141.552868,13
登米市,tomeshi-city,38.663652,141.118211,13
白石市,shiroishishi-city,37.988085,140.622113,13
石巻市,ishinomakishi-city,38.437731,141.281801,13
角田市,kakudashi-city,38.008588,140.743205,13
遠田郡涌谷町,todagunwakuyacho-town,38.548876,141.106446,13
遠田郡美里町,todagunmisatomachi-town,38.590834,141.015463,13
黒川郡大和町,kurokawaguntaiwacho-town,38.430514,140.947568,13
黒川郡大衡村,kurokawagunohiramura-village,38.481279,140.829663,13
黒川郡大郷町,kurokawagunosatocho-town,38.449863,140.979107,13
