name,code,latitude,longitude,zoom
えびの市,ebinoshi-city,32.033122,130.849911,13
串間市,kushimashi-city,31.538628,131.213641,13
児湯郡川南町,koyugunkawaminamicho-town,32.210017,131.48686,13
児湯郡新富町,koyugunshintomicho-town,32.082711,131.481608,13
児湯郡木城町,koyugunkijocho-town,32.298739,131.362874,13
児湯郡西米良村,koyugunnishimerason-village,32.281198,131.133963,13
児湯郡都農町,koyuguntsunocho-town,32.277334,131.504216,13
児湯郡高鍋町,koyuguntakanabecho-town,32.13656,131.482977,13
北諸県郡三股町,kitamorokatagunmimatacho-town,31.698444,131.13043,13
宮崎市,miyazakishi-city,31.963962,131.405298,13
小林市,kobayashishi-city,32.034386,130.951656,13
延岡市,nobeokashi-city,32.684589,131.589608,13
日南市,nichinanshi-city,31.558476,131.347973,13
日向市,hyugashi-city,32.418747,131.592846,13
東臼杵郡椎葉村,higashiusukigunshiibason-village,32.504304,131.160122,13
東臼杵郡美郷町,higashiusukigunmisatocho-town,32.511894,131.438709,13
東臼杵郡諸塚村,higashiusukigunmorotsukason-village,32.567474,131.269091,13
東臼杵郡門川町,higashiusukigunkadogawacho-town,32.501216,131.651022,13
東諸県郡国富町,higashimorokatagunkunitomicho-town,32.011185,131.363023,13
東諸県郡綾町,higashimorokatagunayacho-town,32.004463,131.267438,13
西臼杵郡五ヶ瀬町,nishiusukigungokasecho-town,32.647769,131.232925,13
西臼杵郡日之影町,nishiusukigunhinokagecho-town,32.671637,131.405481,13
西臼杵郡高千穂町,nishiusukiguntakachihocho-town,32.715864,131.320151,13
西諸県郡高原町,nishimorokataguntakaharucho-town,31.943297,130.990126,13
西都市,saitoshi-city,32.113757,131.385008,13
都城市,miyakonojoshi-city,31.72916,131.085085,13
