name,code,latitude,longitude,zoom
上伊那郡中川村,kamiinagunnakagawamura-village,35.641711,137.968361,13
上伊那郡南箕輪村,kamiinagunminamiminowamura-village,35.864863,137.960291,13
上伊那郡宮田村,kamiinagunmiyadamura-village,35.762514,137.951224,13
上伊那郡箕輪町,kamiinagunminowamachi-town,35.902492,138.009879,13
上伊那郡辰野町,kamiinaguntatsunomachi-town,35.973234,138.003146,13
上伊那郡飯島町,kamiinaguniijimamachi-town,35.68409,137.897373,13
上水内郡信濃町,kamiminochigunshinanomachi-town,36.847206,138.248278,13
上水内郡小川村,kamiminochigunogawamura-village,36.617257,137.925932,13
上水内郡飯綱町,kamiminochiguniizunamachi-town,36.755504,138.260172,13
上田市,uedashi-city,36.383098,138.285921,13
上高井郡小布施町,kamitakaigunobusemachi-town,36.699204,138.325914,13
上高井郡高山村,kamitakaiguntakayamamura-village,36.691809,138.366909,13
下伊那郡下條村,shimoinagunshimojomura-village,35.372441,137.764185,13
下伊那郡喬木村,shimoinaguntakagimura-village,35.505654,137.869245,13
下伊那郡売木村,shimoinagunurugimura-village,35.269995,137.709784,13
下伊那郡大鹿村,shimoinagunoshikamura-village,35.531614,138.077124,13
下伊那郡天龍村,shimoinaguntenryumura-village,35.251689,137.798037,13
下伊那郡平谷村,shimoinagunhirayamura-village,35.325861,137.627987,13
下伊那郡松川町,shimoinagunmatsukawamachi-town,35.579231,137.94691,13
下伊那郡根羽村,shimoinagunnebamura-village,35.256947,137.600101,13
下伊那郡泰阜村,shimoinagunyasuokamura-village,35.38929,137.833035,13
下伊那郡豊丘村,shimoinaguntoyokamura-village,35.562012,137.945166,13
下伊那郡阿南町,shimoinagunanancho-town,35.339317,137.831321,13
下伊那郡阿智村,shimoinagunachimura-village,35.454668,137.750308,13
下伊那郡高森町,shimoinaguntakamorimachi-town,35.574931,137.866626,13
下水内郡栄村,shimominochigunsakaemura-village,36.998252,138.56147,13
下高井郡山ノ内町,shimotakaigunyamanochimachi-town,36.732142,138.415928,13
下高井郡木島平村,shimotakaigunkijimadairamura-village,36.826644,138.49267,13
下高井郡野沢温泉村,shimotakaigunnozawaonsenmura-village,36.961662,138.468692,13
中野市,nakanoshi-city,36.756523,138.375362,13
伊那市,inashi-city,35.932476,138.112005,13
佐久市,sakushi-city,36.233296,138.462734,13
北佐久郡御代田町,kitasakugunmiyotamachi-town,36.36715,138.492002,13
北佐久郡立科町,kitasakuguntateshinamachi-town,36.293302,138.331845,13
北佐久郡軽井沢町,kitasakugunkaruizawamachi-town,36.368823,138.656382,13
北安曇郡小谷村,kitaazumigunotarimura-village,36.853841,137.979741,13
北安曇郡松川村,kitaazumigunmatsukawamura-village,36.410962,137.862022,13
北安曇郡池田町,kitaazumigunikedamachi-town,36.374988,137.896517,13
北安曇郡白馬村,kitaazumigunhakubamura-village,36.708415,137.838605,13
千曲市,chikumashi-city,36.469262,138.144373,13
南佐久郡佐久穂町,minamisakugunsakuhomachi-town,36.126216,138.377626,13
南佐久郡北相木村,minamisakugunkitaaikimura-village,36.074808,138.606821,13
南佐久郡南牧村,minamisakugunminamimakimura-village,35.917033,138.471156,13
南佐久郡南相木村,minamisakugunminamiaikimura-village,36.025475,138.56727,13
南佐久郡小海町,minamisakugunkomimachi-town,36.091909,138.449208,13
南佐久郡川上村,minamisakugunkawakamimura-village,35.945962,138.560005,13
埴科郡坂城町,hanishinagunsakakimachi-town,36.456041,138.173201,13
塩尻市,shiojirishi-city,36.094131,137.996876,13
大町市,omachishi-city,36.52463,137.870628,13
安曇野市,azuminoshi-city,36.345441,137.934429,13
小県郡長和町,chiisagatagunnagawamachi-town,36.2206,138.250423,13
小県郡青木村,chiisagatagunaokimura-village,36.357748,138.12647,13
小諸市,komoroshi-city,36.326564,138.41693,13
岡谷市,okayashi-city,36.079917,138.032991,13
木曽郡上松町,kisogunagematsumachi-town,35.804126,137.692023,13
木曽郡南木曽町,kisogunnagisomachi-town,35.565104,137.60396,13
木曽郡大桑村,kisogunokuwamura-village,35.71781,137.677157,13
木曽郡木曽町,kisogunkisomachi-town,35.969403,137.656763,13
木曽郡木祖村,kisogunkisomura-village,36.017795,137.751905,13
木曽郡王滝村,kisogunotakimura-village,35.810304,137.546571,13
東御市,tomishi-city,36.361361,138.330531,13
東筑摩郡山形村,higashichikumagunyamagatamura-village,36.152162,137.871595,13
東筑摩郡朝日村,higashichikumagunasahimura-village,36.102406,137.803391,13
東筑摩郡生坂村,higashichikumagunikusakamura-village,36.422593,137.927618,13
東筑摩郡筑北村,higashichikumagunchikuhokumura-village,36.385488,138.054962,13
東筑摩郡麻績村,higashichikumagunomimura-village,36.458354,138.047985,13
松本市,matsumotoshi-city,36.270421,138.037174,13
茅野市,chinoshi-city,36.002839,138.131367,13
諏訪市,suwashi-city,36.077993,138.139276,13
諏訪郡下諏訪町,suwagunshimosuwamachi-town,36.066935,138.105165,13
諏訪郡原村,suwagunharamura-village,35.947991,138.213451,13
諏訪郡富士見町,suwagunfujimimachi-town,35.89655,138.255691,13
長野市,naganoshi-city,36.68853,138.247847,13
須坂市,suzakashi-city,36.650823,138.276516,13
飯山市,iiyamashi-city,36.969008,138.413004,13
飯田市,iidashi-city,35.581654,137.751701,13
駒ヶ根市,komaganeshi-city,35.732245,137.938003,13
