name,code,latitude,longitude,zoom
五島市,gotoshi-city,32.806564,128.678133,13
佐世保市,saseboshi-city,33.265577,129.56307,13
北松浦郡佐々町,kitamatsuragunsazacho-town,33.249739,129.662427,13
北松浦郡小値賀町,kitamatsuragunojikacho-town,33.17302,129.038612,13
南島原市,minamishimabarashi-city,32.676694,130.324391,13
南松浦郡新上五島町,minamimatsuragunshinkamigotocho-town,32.961156,129.074581,13
壱岐市,ikishi-city,33.733421,129.757605,13
大村市,omurashi-city,32.910251,129.973014,13
対馬市,tsushimashi-city,34.271005,129.310351,13
島原市,shimabarashi-city,32.784523,130.355334,13
平戸市,hiradoshi-city,33.211594,129.40489,13
東彼杵郡川棚町,higashisonogigunkawatanacho-town,33.083394,129.876343,13
東彼杵郡東彼杵町,higashisonogigunhigashisonogicho-town,32.990918,129.974552,13
東彼杵郡波佐見町,higashisonogigunhasamicho-town,33.104656,129.868496,13
松浦市,matsurashi-city,33.416253,129.725186,13
西彼杵郡時津町,nishisonogiguntogitsucho-town,32.830465,129.846164,13
西彼杵郡長与町,nishisonogigunnagayocho-town,32.830664,129.872254,13
西海市,saikaishi-city,33.044388,129.608218,13
諫早市,isahayashi-city,32.859647,130.023634,13
長崎市,nagasakishi-city,32.733844,129.871781,13
雲仙市,unzenshi-city,32.80624,130.152096,13
