name,code,latitude,longitude,zoom
五條市,gojoshi-city,34.186744,135.754144,13
北葛城郡上牧町,kitakatsuragigunkammakicho-town,34.559949,135.720024,13
北葛城郡広陵町,kitakatsuragigunkoryocho-town,34.551282,135.741987,13
北葛城郡河合町,kitakatsuragigunkawaicho-town,34.563319,135.732155,13
北葛城郡王寺町,kitakatsuragigunojicho-town,34.594445,135.708455,13
吉野郡上北山村,yoshinogunkamikitayamamura-village,34.149634,136.05544,13
吉野郡下北山村,yoshinogunshimokitayamamura-village,34.000768,135.98169,13
吉野郡下市町,yoshinogunshimoichicho-town,34.348539,135.815417,13
吉野郡十津川村,yoshinoguntotsukawamura-village,33.898125,135.757421,13
吉野郡吉野町,yoshinogunyoshinocho-town,34.447676,135.884372,13
吉野郡大淀町,yoshinogunoyodocho-town,34.3877,135.781667,13
吉野郡天川村,yoshinoguntenkawamura-village,34.2473,135.84,13
吉野郡川上村,yoshinogunkawakamimura-village,34.276409,135.969891,13
吉野郡東吉野村,yoshinogunhigashiyoshinomura-village,34.36947,135.98713,13
吉野郡野迫川村,yoshinogunnosegawamura-village,34.20865,135.654114,13
吉野郡黒滝村,yoshinogunkurotakimura-village,34.299588,135.860452,13
大和郡山市,yamatokoriyamashi-city,34.646541,135.779468,13
大和高田市,yamatotakadashi-city,34.507688,135.758575,13
天理市,tenrishi-city,34.585892,135.810945,13
奈良市,narashi-city,34.666801,135.787085,13
宇陀市,udashi-city,34.47485,135.961491,13
宇陀郡御杖村,udagunmitsuemura-village,34.467031,136.141817,13
宇陀郡曽爾村,udagunsonimura-village,34.530205,136.110712,13
山辺郡山添村,yamabegunyamazoemura-village,34.654544,136.020883,13
御所市,goseshi-city,34.455853,135.730485,13
桜井市,sakuraishi-city,34.57097,135.924511,13
橿原市,kashiharashi-city,34.48314,135.799944,13
生駒市,ikomashi-city,34.667971,135.700915,13
生駒郡三郷町,ikomagunsangocho-town,34.609012,135.678134,13
生駒郡安堵町,ikomagunandocho-town,34.60571,135.766298,13
生駒郡平群町,ikomagunheguricho-town,34.632626,135.71174,13
生駒郡斑鳩町,ikomagunikarugacho-town,34.624991,135.735985,13
磯城郡三宅町,shikigunmiyakecho-town,34.576978,135.786153,13
磯城郡川西町,shikigunkawanishicho-town,34.591682,135.785437,13
磯城郡田原本町,shikiguntawaramotocho-town,34.549367,135.788651,13
葛城市,katsuragishi-city,34.494661,135.723168,13
香芝市,kashibashi-city,34.553926,135.69675,13
高市郡明日香村,takaichigunasukamura-village,34.463899,135.846869,13
高市郡高取町,takaichiguntakatoricho-town,34.444605,135.800935,13
