name,code,latitude,longitude,zoom
三島郡出雲崎町,santogunizumozakimachi-town,37.549166,138.717694,13
三条市,sanjoshi-city,37.450936,139.129574,13
上越市,joetsushi-city,37.084741,138.259014,13
中魚沼郡津南町,nakauonumaguntsunanmachi-town,37.05296,138.664252,13
五泉市,gosenshi-city,37.767441,139.179613,13
佐渡市,sadoshi-city,38.039151,138.259062,13
刈羽郡刈羽村,kariwagunkariwamura-village,37.40767,138.618865,13
加茂市,kamoshi-city,37.628463,139.124672,13
北蒲原郡聖籠町,kitakambaragunseiromachi-town,37.959363,139.283714,13
十日町市,tokamachishi-city,37.078719,138.78745,13
南蒲原郡田上町,minamikambaraguntagamimachi-town,37.69179,139.039305,13
南魚沼市,minamiuonumashi-city,37.150013,138.927917,13
南魚沼郡湯沢町,minamiuonumagunyuzawamachi-town,36.890315,138.761671,13
妙高市,myokoshi-city,37.020382,138.201054,13
小千谷市,ojiyashi-city,37.310365,138.829736,13
岩船郡粟島浦村,iwafunegunawashimauramura-village,38.465471,139.251767,13
岩船郡関川村,iwafunegunsekikawamura-village,38.067066,139.58218,13
新潟市中央区,niigatashichuoku-ward,37.914832,139.042725,13
新潟市北区,niigatashikitaku-ward,37.957509,139.214946,13
新潟市南区,niigatashiminamiku-ward,37.773156,139.06176,13
新潟市東区,niigatashihigashiku-ward,37.939391,139.08109,13
新潟市江南区,niigatashikonanku-ward,37.88125,139.125034,13
新潟市秋葉区,niigatashiakihaku-ward,37.770155,139.169578,13
新潟市西区,niigatashinishiku-ward,37.901984,138.992411,13
新潟市西蒲区,niigatashinishikanku-ward,37.766026,138.948451,13
新発田市,shibatashi-city,37.99895,139.448989,13
村上市,murakamishi-city,38.207068,139.443208,13
東蒲原郡阿賀町,higashikambaragunagamachi-town,37.689142,139.419342,13
柏崎市,kashiwazakishi-city,37.388216,138.594792,13
燕市,tsubameshi-city,37.605588,138.84488,13
糸魚川市,itoigawashi-city,37.025248,137.869604,13
胎内市,tainaishi-city,38.063774,139.392274,13
西蒲原郡弥彦村,nishikambaragunyahikomura-village,37.703802,138.860037,13
見附市,mitsukeshi-city,37.462589,138.9513,13
長岡市,nagaokashi-city,37.48846,138.987571,13
阿賀野市,aganoshi-city,37.821723,139.212266,13
魚沼市,uonumashi-city,37.233532,138.95672,13
