name,code,latitude,longitude,zoom
中津市,nakatsushi-city,33.534703,131.201459,13
佐伯市,saikishi-city,33.058297,131.999078,13
別府市,beppushi-city,33.325407,131.489971,13
国東市,kunisakishi-city,33.502662,131.62368,13
大分市,oitashi-city,33.26691,131.691777,13
宇佐市,usashi-city,33.562057,131.338823,13
日田市,hitashi-city,33.363375,130.930106,13
東国東郡姫島村,higashikunisakigunhimeshimamura-village,33.731592,131.679061,13
杵築市,kitsukishi-city,33.40727,131.586959,13
津久見市,tsukumishi-city,33.079387,131.81493,13
玖珠郡九重町,kusugunkokonoemachi-town,33.241431,131.199274,13
玖珠郡玖珠町,kusugunkusumachi-town,33.353327,131.09157,13
由布市,yufushi-city,33.138614,131.31968,13
竹田市,taketashi-city,33.055795,131.252319,13
臼杵市,usukishi-city,33.158732,131.818631,13
豊後大野市,bungoonoshi-city,33.090322,131.517362,13
豊後高田市,bungotakadashi-city,33.551089,131.482945,13
速見郡日出町,hayamigunhijimachi-town,33.368494,131.459234,13
