name,code,latitude,longitude,zoom
久米郡久米南町,kumegunkumenancho-town,34.916639,133.984271,13
久米郡美咲町,kumegunmisakicho-town,34.990715,133.867487,13
井原市,ibarashi-city,34.632427,133.471816,13
倉敷市,kurashikishi-city,34.513024,133.743507,13
備前市,bizenshi-city,34.752583,134.238499,13
加賀郡吉備中央町,kagagunkibichuocho-town,34.94143,133.83295,13
勝田郡勝央町,katsutagunshoocho-town,35.082692,134.149708,13
勝田郡奈義町,katsutagunnagicho-town,35.110161,134.165637,13
和気郡和気町,wakegunwakecho-town,34.815418,134.160776,13
小田郡矢掛町,odagunyakagecho-town,34.598761,133.563184,13
岡山市中区,okayamashinakaku-ward,34.649358,133.938305,13
岡山市北区,okayamashikitaku-ward,34.669495,133.89937,13
岡山市南区,okayamashiminamiku-ward,34.628197,133.922068,13
岡山市東区,okayamashihigashiku-ward,34.706735,134.071045,13
新見市,niimishi-city,35.048881,133.400714,13
津山市,tsuyamashi-city,35.184857,134.047418,13
浅口市,asakuchishi-city,34.538802,133.588634,13
浅口郡里庄町,asakuchigunsatoshocho-town,34.502629,133.553799,13
瀬戸内市,setochishi-city,34.628302,134.159125,13
玉野市,tamanoshi-city,34.533817,133.963046,13
真庭市,maniwashi-city,35.026326,133.769477,13
真庭郡新庄村,maniwagunshinjoson-village,35.178055,133.568204,13
笠岡市,kasaokashi-city,34.506729,133.473295,13
総社市,sojashi-city,34.753708,133.718723,13
美作市,mimasakashi-city,34.945971,134.120813,13
苫田郡鏡野町,tomatagunkagaminocho-town,35.185966,133.911773,13
英田郡西粟倉村,aidagunnishiawakurason-village,35.203929,134.331144,13
赤磐市,akaiwashi-city,34.853143,133.99919,13
都窪郡早島町,tsukubogunhayashimacho-town,34.608687,133.818498,13
高梁市,takahashishi-city,34.792855,133.61845,13
