name,code,latitude,longitude,zoom
うるま市,urumashi-city,26.35818,127.857916,13
中頭郡中城村,nakagamigunnakagusukuson-village,26.283273,127.812565,13
中頭郡北中城村,nakagamigunkitanakagusukuson-village,26.304351,127.799565,13
中頭郡北谷町,nakagamigunchatancho-town,26.332603,127.771076,13
中頭郡嘉手納町,nakagamigunkadenacho-town,26.388565,127.779594,13
中頭郡西原町,nakagamigunnishiharacho-town,26.239697,127.764867,13
中頭郡読谷村,nakagamigunyomitanson-village,26.404628,127.737429,13
八重山郡与那国町,yaeyamagunyonagunicho-town,24.455925,122.987678,13
八重山郡竹富町,yaeyamaguntaketomicho-town,24.375079,123.825219,13
南城市,nanjoshi-city,26.181536,127.794861,13
名護市,nagoshi-city,26.569704,128.085969,13
国頭郡今帰仁村,kunigamigunnakijinson-village,26.679944,127.994791,13
国頭郡伊江村,kunigamigunieson-village,26.709901,127.770723,13
国頭郡国頭村,kunigamigunkunigamison-village,26.755557,128.225375,13
国頭郡大宜味村,kunigamigunogimison-village,26.684132,128.112678,13
国頭郡宜野座村,kunigamigunginozason-village,26.498165,127.97164,13
国頭郡恩納村,kunigamigunonnason-village,26.434395,127.798825,13
国頭郡本部町,kunigamigunmotobucho-town,26.654175,127.924161,13
国頭郡東村,kunigamigunhigashison-village,26.624989,128.184139,13
国頭郡金武町,kunigamigunkincho-town,26.464591,127.883299,13
宜野湾市,ginowanshi-city,26.278494,127.773272,13
宮古島市,miyakojimashi-city,24.835268,125.186042,13
宮古郡多良間村,miyakoguntaramason-village,24.657759,124.685433,13
島尻郡与那原町,shimajirigunyonabarucho-town,26.199155,127.751305,13
島尻郡久米島町,shimajirigunkumejimacho-town,26.364083,126.760508,13
島尻郡伊平屋村,shimajiriguniheyason-village,27.048461,127.977462,13
島尻郡伊是名村,shimajirigunizenason-village,26.925141,127.946139,13
島尻郡八重瀬町,shimajirigunyaesecho-town,26.160759,127.713728,13
島尻郡北大東村,shimajirigunkitadaitoson-village,24.466789,131.188692,13
島尻郡南大東村,shimajirigunminamidaitoson-village,25.858553,131.235392,13
島尻郡南風原町,shimajirigunhaebarucho-town,26.200936,127.743365,13
島尻郡座間味村,shimajirigunzamamison-village,26.230562,127.306165,13
島尻郡渡名喜村,shimajiriguntonakison-village,26.357487,127.147587,13
島尻郡渡嘉敷村,shimajiriguntokashikison-village,26.213017,127.447923,13
島尻郡粟国村,shimajirigunagunison-village,26.589864,127.231393,13
沖縄市,okinawashi-city,26.389427,127.795455,13
浦添市,urasoeshi-city,26.251113,127.695914,13
石垣市,ishigakishi-city,24.513841,124.285419,13
糸満市,itomanshi-city,26.13015,127.703002,13
豊見城市,tomigusukushi-city,26.17305,127.679252,13
那覇市,nahashi-city,26.229674,127.683866,13
