name,code,latitude,longitude,zoom
三島郡島本町,mishimagunshimamotocho-town,34.919896,135.640286,13
交野市,katanoshi-city,34.790619,135.709849,13
八尾市,yaoshi-city,34.601077,135.620255,13
南河内郡千早赤阪村,minamikawachigunchihayaakasakamura-village,34.432692,135.625316,13
南河内郡太子町,minamikawachiguntaishicho-town,34.520149,135.632068,13
南河内郡河南町,minamikawachigunkanancho-town,34.509872,135.621873,13
吹田市,suitashi-city,34.808016,135.549084,13
和泉市,izumishi-city,34.445787,135.468126,13
四條畷市,shijonawateshi-city,34.714915,135.682322,13
堺市中区,sakaishinakaku-ward,34.507282,135.523848,13
堺市北区,sakaishikitaku-ward,34.581061,135.510333,13
堺市南区,sakaishiminamiku-ward,34.487007,135.479335,13
堺市堺区,sakaishisakaiku-ward,34.584859,135.497523,13
堺市東区,sakaishihigashiku-ward,34.556457,135.530277,13
堺市美原区,sakaishimiharaku-ward,34.532193,135.555413,13
堺市西区,sakaishinishiku-ward,34.553886,135.477219,13
大東市,daitoshi-city,34.706803,135.652421,13
大阪市中央区,osakashichuoku-ward,34.684335,135.508136,13
大阪市住之江区,osakashisuminoeku-ward,34.608509,135.489831,13
大阪市住吉区,osakashisumiyoshiku-ward,34.591243,135.510936,13
大阪市北区,osakashikitaku-ward,34.698852,135.50308,13
大阪市城東区,osakashijotoku-ward,34.69896,135.547961,13
大阪市大正区,osakashitaishoku-ward,34.661987,135.473082,13
大阪市天王寺区,osakashitennojiku-ward,34.667172,135.528111,13
大阪市平野区,osakashihiranoku-ward,34.606507,135.550344,13
大阪市旭区,osakashiasahiku-ward,34.722616,135.533157,13
大阪市東住吉区,osakashihigashisumiyoshiku-ward,34.630809,135.536138,13
大阪市東成区,osakashihigashinariku-ward,34.67274,135.545765,13
大阪市東淀川区,osakashihigashiyodogawaku-ward,34.756896,135.532179,13
大阪市此花区,osakashikonohanaku-ward,34.65401,135.391692,13
大阪市浪速区,osakashinaniwaku-ward,34.661753,135.487515,13
大阪市淀川区,osakashiyodogawaku-ward,34.725844,135.459801,13
大阪市港区,osakashiminatoku-ward,34.65792,135.449062,13
大阪市生野区,osakashiikunoku-ward,34.650341,135.526426,13
大阪市福島区,osakashifukushimaku-ward,34.698254,135.475745,13
大阪市西区,osakashinishiku-ward,34.679415,135.469474,13
大阪市西成区,osakashinishinariku-ward,34.644366,135.49468,13
大阪市西淀川区,osakashinishiyodogawaku-ward,34.715464,135.465145,13
大阪市都島区,osakashimiyakojimaku-ward,34.694523,135.524711,13
大阪市阿倍野区,osakashiabenoku-ward,34.629479,135.504985,13
大阪市鶴見区,osakashitsurumiku-ward,34.694813,135.567775,13
大阪狭山市,osakasayamashi-city,34.502697,135.550228,13
守口市,moriguchishi-city,34.713082,135.573356,13
富田林市,tondabayashishi-city,34.512425,135.596672,13
寝屋川市,neyagawashi-city,34.773425,135.619273,13
岸和田市,kishiwadashi-city,34.422025,135.418155,13
摂津市,settsushi-city,34.755747,135.5542,13
東大阪市,higashiosakashi-city,34.666243,135.637192,13
松原市,matsubarashi-city,34.579004,135.552006,13
枚方市,hirakatashi-city,34.804801,135.739502,13
柏原市,kashiwarashi-city,34.586639,135.641879,13
池田市,ikedashi-city,34.820271,135.445493,13
河内長野市,kawachinaganoshi-city,34.47098,135.555839,13
泉佐野市,izumisanoshi-city,34.400741,135.32169,13
泉北郡忠岡町,sembokuguntadaokacho-town,34.48076,135.405945,13
泉南市,sennanshi-city,34.373118,135.31366,13
泉南郡岬町,sennangunmisakicho-town,34.330811,135.187278,13
泉南郡熊取町,sennangunkumatoricho-town,34.375425,135.381581,13
泉南郡田尻町,sennanguntajiricho-town,34.392325,135.293879,13
泉大津市,izumiotsushi-city,34.503394,135.393258,13
箕面市,minoshi-city,34.852557,135.498139,13
羽曳野市,habikinoshi-city,34.535249,135.642073,13
茨木市,ibarakishi-city,34.826951,135.542808,13
藤井寺市,fujiiderashi-city,34.555475,135.60157,13
豊中市,toyonakashi-city,34.77641,135.449455,13
豊能郡能勢町,toyonogunnosecho-town,34.963242,135.391945,13
豊能郡豊能町,toyonoguntoyonocho-town,34.913675,135.476798,13
貝塚市,kaizukashi-city,34.426417,135.355712,13
門真市,kadomashi-city,34.72276,135.588031,13
阪南市,hannanshi-city,34.341497,135.24692,13
高槻市,takatsukishi-city,34.80201,135.61406,13
高石市,takaishishi-city,34.520962,135.434049,13
