name,code,latitude,longitude,zoom
三養基郡みやき町,miyakigunmiyakicho-town,33.322972,130.438345,13
三養基郡上峰町,miyakigunkamiminecho-town,33.306176,130.416207,13
三養基郡基山町,miyakigunkiyamacho-town,33.423012,130.493722,13
伊万里市,imarishi-city,33.361861,129.90846,13
佐賀市,sagashi-city,33.312053,130.336482,13
唐津市,karatsushi-city,33.322593,130.050573,13
多久市,takushi-city,33.311969,130.123217,13
嬉野市,ureshinoshi-city,33.151592,130.059209,13
小城市,ogishi-city,33.237635,130.214574,13
東松浦郡玄海町,higashimatsuragungenkaicho-town,33.503382,129.852354,13
杵島郡大町町,kishimagunomachicho-town,33.217746,130.122954,13
杵島郡江北町,kishimagunkohokumachi-town,33.226023,130.137754,13
杵島郡白石町,kishimagunshiroishicho-town,33.188806,130.126192,13
武雄市,takeoshi-city,33.229647,130.047122,13
神埼市,kanzakishi-city,33.290315,130.347052,13
神埼郡吉野ヶ里町,kanzakigunyoshinogaricho-town,33.362343,130.405565,13
藤津郡太良町,fujitsuguntaracho-town,33.035952,130.149167,13
西松浦郡有田町,nishimatsuragunaritacho-town,33.187835,129.895783,13
鳥栖市,tosushi-city,33.337009,130.495192,13
鹿島市,kashimashi-city,33.061113,130.055897,13
