name,code,latitude,longitude,zoom
さいたま市中央区,saitamashichuoku-ward,35.893904,139.633474,13
さいたま市北区,saitamashikitaku-ward,35.931542,139.605794,13
さいたま市南区,saitamashiminamiku-ward,35.852142,139.694477,13
さいたま市大宮区,saitamashiomiyaku-ward,35.906458,139.633381,13
さいたま市岩槻区,saitamashiiwatsukiku-ward,35.966186,139.702152,13
さいたま市桜区,saitamashisakuraku-ward,35.868947,139.612054,13
さいたま市浦和区,saitamashiurawaku-ward,35.892378,139.659492,13
さいたま市緑区,saitamashimidoriku-ward,35.884795,139.676119,13
さいたま市西区,saitamashinishiku-ward,35.887092,139.586951,13
さいたま市見沼区,saitamashiminumaku-ward,35.897555,139.654005,13
ふじみ野市,fujiminoshi-city,35.855928,139.517958,13
三郷市,misatoshi-city,35.864129,139.863698,13
上尾市,ageoshi-city,35.999478,139.577774,13
久喜市,kukishi-city,36.074759,139.695474,13
児玉郡上里町,kodamagunkamisatomachi-town,36.24152,139.150036,13
児玉郡神川町,kodamagunkamikawamachi-town,36.130625,139.051075,13
児玉郡美里町,kodamagunmisatomachi-town,36.203345,139.166767,13
入間市,irumashi-city,35.816057,139.392161,13
入間郡三芳町,irumagunmiyoshimachi-town,35.831943,139.50037,13
入間郡毛呂山町,irumagunmoroyamamachi-town,35.934861,139.341947,13
入間郡越生町,irumagunogosemachi-town,35.977516,139.257493,13
八潮市,yashioshi-city,35.820584,139.824916,13
加須市,kazoshi-city,36.133536,139.657832,13
北本市,kitamotoshi-city,36.012849,139.535408,13
北葛飾郡杉戸町,kitakatsushikagunsugitomachi-town,36.056405,139.702815,13
北葛飾郡松伏町,kitakatsushikagunmatsubushimachi-town,35.915423,139.826592,13
北足立郡伊奈町,kitaadachiguninamachi-town,36.007291,139.619257,13
南埼玉郡宮代町,minamisaitamagunmiyashiromachi-town,36.049817,139.691265,13
吉川市,yoshikawashi-city,35.872971,139.887343,13
和光市,wakoshi-city,35.80537,139.637274,13
坂戸市,sakadoshi-city,35.98081,139.394855,13
大里郡寄居町,osatogunyoriimachi-town,36.094821,139.216886,13
富士見市,fujimishi-city,35.861541,139.558517,13
川口市,kawaguchishi-city,35.824012,139.737699,13
川越市,kawagoeshi-city,35.933132,139.466622,13
幸手市,satteshi-city,36.07781,139.738254,13
志木市,shikishi-city,35.834697,139.575451,13
戸田市,todashi-city,35.81994,139.673543,13
所沢市,tokorozawashi-city,35.78598,139.4899,13
新座市,niizashi-city,35.787944,139.547549,13
日高市,hidakashi-city,35.885917,139.340906,13
春日部市,kasukabeshi-city,35.96049,139.804674,13
朝霞市,asakashi-city,35.826427,139.610845,13
本庄市,honjoshi-city,36.244987,139.202992,13
東松山市,higashimatsuyamashi-city,36.033221,139.340605,13
桶川市,okegawashi-city,36.005338,139.543788,13
比企郡ときがわ町,hikiguntokigawamachi-town,36.020496,139.275565,13
比企郡吉見町,hikigunyoshimimachi-town,36.067035,139.463416,13
比企郡小川町,hikigunogawamachi-town,36.026689,139.233966,13
比企郡嵐山町,hikigunranzanmachi-town,36.081181,139.325794,13
比企郡川島町,hikigunkawajimamachi-town,35.998212,139.468694,13
比企郡滑川町,hikigunnamegawamachi-town,36.065547,139.34709,13
比企郡鳩山町,hikigunhatoyamamachi-town,35.966253,139.34016,13
深谷市,fukayashi-city,36.185343,139.304241,13
熊谷市,kumagayashi-city,36.090405,139.415292,13
狭山市,sayamashi-city,35.87172,139.418126,13
白岡市,shiraokashi-city,36.038225,139.623468,13
秩父市,chichibushi-city,36.006206,139.08693,13
秩父郡小鹿野町,chichibugunoganomachi-town,36.034926,138.966173,13
秩父郡東秩父村,chichibugunhigashichichibumura-village,36.056038,139.171287,13
秩父郡横瀬町,chichibugunyokozemachi-town,35.968668,139.107584,13
秩父郡皆野町,chichibugunminanomachi-town,36.058966,139.136123,13
秩父郡長瀞町,chichibugunnagatoromachi-town,36.113534,139.094564,13
羽生市,hanyushi-city,36.17293,139.604305,13
草加市,sokashi-city,35.87027,139.823489,13
蓮田市,hasudashi-city,36.026283,139.614556,13
蕨市,warabishi-city,35.82984,139.682984,13
行田市,gyodashi-city,36.155256,139.438416,13
越谷市,koshigayashi-city,35.930954,139.755535,13
飯能市,hannoshi-city,35.910127,139.146502,13
鴻巣市,konosushi-city,36.091063,139.472129,13
鶴ヶ島市,tsurugashimashi-city,35.929049,139.391857,13
