name,code,latitude,longitude,zoom
大津市,otsushi-city,34.938948,136.026392,13
守山市,moriyamashi-city,35.07941,135.960921,13
彦根市,hikoneshi-city,35.273953,136.261864,13
愛知郡愛荘町,echigunaishocho-town,35.175795,136.246629,13
東近江市,higashiomishi-city,35.093206,136.296782,13
栗東市,rittoshi-city,34.967197,136.026113,13
湖南市,konanshi-city,34.990005,136.119941,13
犬上郡多賀町,inukamiguntagacho-town,35.184283,136.324464,13
犬上郡甲良町,inukamigunkoracho-town,35.201458,136.251594,13
犬上郡豊郷町,inukamiguntoyosatocho-town,35.202908,136.227975,13
甲賀市,kokashi-city,34.97235,136.157864,13
米原市,maibarashi-city,35.412846,136.39073,13
草津市,kusatsushi-city,35.035315,135.94319,13
蒲生郡日野町,gamogunhinocho-town,35.014944,136.213341,13
蒲生郡竜王町,gamogunryuocho-town,35.069791,136.100593,13
近江八幡市,omihachimanshi-city,35.13905,136.092612,13
野洲市,yasushi-city,35.05014,136.050533,13
長浜市,nagahamashi-city,35.376471,136.26955,13
高島市,takashimashi-city,35.329925,136.034823,13
