name,code,latitude,longitude,zoom
仁多郡奥出雲町,nitagunokuizumocho-town,35.163889,133.10199,13
出雲市,izumoshi-city,35.441831,132.875534,13
大田市,odashi-city,35.132611,132.484502,13
安来市,yasugishi-city,35.438466,133.219908,13
松江市,matsueshi-city,35.407732,132.8972,13
江津市,gotsushi-city,35.032003,132.260821,13
浜田市,hamadashi-city,34.890513,132.096524,13
益田市,masudashi-city,34.835675,131.836001,13
邑智郡川本町,ochigunkawamotomachi-town,35.017611,132.465084,13
邑智郡美郷町,ochigunmisatocho-town,35.086124,132.4916,13
邑智郡邑南町,ochigunonancho-town,34.87352,132.628898,13
隠岐郡海士町,okigunamacho-town,36.112731,133.107473,13
隠岐郡知夫村,okigunchibumura-village,36.020392,133.020433,13
隠岐郡西ノ島町,okigunnishinoshimacho-town,36.124161,133.038958,13
隠岐郡隠岐の島町,okigunokinoshimacho-town,36.235391,133.320986,13
雲南市,unnanshi-city,35.179111,132.7629,13
飯石郡飯南町,iishiguniinancho-town,34.99698,132.716264,13
鹿足郡吉賀町,kanoashigunyoshikacho-town,34.468965,131.869984,13
鹿足郡津和野町,kanoashiguntsuwanocho-town,34.576783,131.790262,13
