name,code,latitude,longitude,zoom
三島市,mishimashi-city,35.159267,138.964839,13
下田市,shimodashi-city,34.674554,138.951361,13
伊東市,itoshi-city,34.864229,139.074956,13
伊豆の国市,izunokunishi-city,35.02655,138.93921,13
伊豆市,izushi-city,34.933156,138.926449,13
周智郡森町,shuchigunmorimachi-town,34.89211,137.964764,13
富士宮市,fujinomiyashi-city,35.25145,138.588399,13
富士市,fujishi-city,35.151965,138.68186,13
島田市,shimadashi-city,34.840502,138.157983,13
御前崎市,omaezakishi-city,34.643948,138.127084,13
御殿場市,gotembashi-city,35.283449,138.884754,13
掛川市,kakegawashi-city,34.790585,138.056835,13
榛原郡吉田町,haibaragunyoshidacho-town,34.793425,138.252921,13
榛原郡川根本町,haibaragunkawanehoncho-town,35.086945,138.120772,13
沼津市,numazushi-city,35.079063,138.867458,13
浜松市中区,hamamatsushinakaku-ward,34.755567,137.692503,13
浜松市北区,hamamatsushikitaku-ward,34.834189,137.675266,13
浜松市南区,hamamatsushiminamiku-ward,34.716112,137.781322,13
浜松市天竜区,hamamatsushitenryuku-ward,34.865305,137.780628,13
浜松市東区,hamamatsushihigashiku-ward,34.767533,137.753938,13
浜松市浜北区,hamamatsushihamakitaku-ward,34.882646,137.747362,13
浜松市西区,hamamatsushinishiku-ward,34.745976,137.67045,13
湖西市,kosaishi-city,34.735248,137.491276,13
焼津市,yaizushi-city,34.804532,138.259178,13
熱海市,atamishi-city,35.106068,139.046549,13
牧之原市,makinoharashi-city,34.708412,138.200062,13
田方郡函南町,tagatagunkannamicho-town,35.112061,138.96945,13
磐田市,iwatashi-city,34.66613,137.834675,13
菊川市,kikugawashi-city,34.75696,138.094911,13
藤枝市,fujiedashi-city,34.856244,138.248834,13
袋井市,fukuroishi-city,34.710658,137.91358,13
裾野市,susonoshi-city,35.207141,138.906795,13
賀茂郡南伊豆町,kamogunminamiizucho-town,34.665353,138.886337,13
賀茂郡東伊豆町,kamogunhigashiizucho-town,34.785806,139.035565,13
賀茂郡松崎町,kamogunmatsuzakicho-town,34.765474,138.838334,13
賀茂郡河津町,kamogunkawazucho-town,34.78358,138.907753,13
賀茂郡西伊豆町,kamogunnishiizucho-town,34.828137,138.779743,13
静岡市清水区,shizuokashishimizuku-ward,35.111877,138.552591,13
静岡市葵区,shizuokashiaoiku-ward,35.014689,138.350347,13
静岡市駿河区,shizuokashisurugaku-ward,34.924517,138.377334,13
駿東郡小山町,suntogunoyamacho-town,35.350726,138.962001,13
駿東郡清水町,suntogunshimizucho-town,35.096057,138.908426,13
駿東郡長泉町,suntogunnagaizumicho-town,35.145472,138.902719,13
