name,code,latitude,longitude,zoom
さくら市,sakurashi-city,36.672561,140.005037,13
下都賀郡壬生町,shimotsugagunmibumachi-town,36.46337,139.764062,13
下都賀郡野木町,shimotsugagunnogimachi-town,36.216027,139.73389,13
下野市,shimotsukeshi-city,36.435221,139.861396,13
佐野市,sanoshi-city,36.314003,139.582933,13
塩谷郡塩谷町,shioyagunshioyamachi-town,36.85107,139.797036,13
塩谷郡高根沢町,shioyaguntakanezawamachi-town,36.637488,140.051778,13
大田原市,otawarashi-city,36.841663,140.058927,13
宇都宮市,utsunomiyashi-city,36.646869,139.911701,13
小山市,oyamashi-city,36.35475,139.81726,13
日光市,nikkoshi-city,36.739432,139.546983,13
栃木市,tochigishi-city,36.377396,139.736519,13
河内郡上三川町,kawachigunkaminokawamachi-town,36.455261,139.878127,13
真岡市,mokashi-city,36.37427,139.942822,13
矢板市,yaitashi-city,36.797551,139.941108,13
芳賀郡市貝町,hagagunichikaimachi-town,36.535978,140.082055,13
芳賀郡益子町,hagagunmashikomachi-town,36.504971,140.090638,13
芳賀郡芳賀町,hagagunhagamachi-town,36.555356,140.051314,13
芳賀郡茂木町,hagagunmotegimachi-town,36.52668,140.200402,13
足利市,ashikagashi-city,36.336014,139.461246,13
那須塩原市,nasushiobarashi-city,36.911898,140.033159,13
那須烏山市,nasukarasuyamashi-city,36.652605,140.163267,13
那須郡那珂川町,nasugunnakagawamachi-town,36.756313,140.142114,13
那須郡那須町,nasugunnasumachi-town,36.962792,140.166526,13
鹿沼市,kanumashi-city,36.563155,139.744289,13
