name,code,latitude,longitude,zoom
三好市,miyoshishi-city,34.031322,133.893616,13
三好郡東みよし町,miyoshigunhigashimiyoshicho-town,34.060503,133.909257,13
勝浦郡上勝町,katsuragunkamikatsucho-town,33.923884,134.395569,13
勝浦郡勝浦町,katsuragunkatsuracho-town,33.94161,134.488942,13
吉野川市,yoshinogawashi-city,34.039436,134.200599,13
名東郡佐那河内村,myodogunsanagochison-village,33.975981,134.430267,13
名西郡石井町,myozaigunishiicho-town,34.099208,134.438628,13
名西郡神山町,myozaigunkamiyamacho-town,34.019749,134.382226,13
小松島市,komatsushimashi-city,33.952821,134.584406,13
徳島市,tokushimashi-city,34.088467,134.548401,13
板野郡上板町,itanogunkamiitacho-town,34.148493,134.384029,13
板野郡北島町,itanogunkitajimacho-town,34.123502,134.555672,13
板野郡松茂町,itanogunmatsushigecho-town,34.131863,134.58406,13
板野郡板野町,itanogunitanocho-town,34.150647,134.44979,13
板野郡藍住町,itanogunaizumicho-town,34.123194,134.489616,13
海部郡海陽町,kaifugunkaiyocho-town,33.644928,134.256324,13
海部郡牟岐町,kaifugunmugicho-town,33.668237,134.411471,13
海部郡美波町,kaifugunminamicho-town,33.76781,134.481044,13
美馬市,mimashi-city,34.079775,134.15923,13
美馬郡つるぎ町,mimaguntsurugicho-town,34.043496,134.067395,13
那賀郡那賀町,nakagunnakacho-town,33.84588,134.473371,13
阿南市,ananshi-city,33.934125,134.689709,13
阿波市,awashi-city,34.086268,134.252128,13
鳴門市,narutoshi-city,34.164402,134.491876,13
