name,code,latitude,longitude,zoom
あきる野市,akirunoshi-city,35.729685,139.287963,13
三宅村,miyakemura-village,34.064749,139.496507,13
三鷹市,mitakashi-city,35.692409,139.548075,13
世田谷区,setagayaku-ward,35.655245,139.641523,13
中央区,chuoku-ward,35.667003,139.777695,13
中野区,nakanoku-ward,35.712073,139.667366,13
八丈町,hachijomachi-town,33.122039,139.692944,13
八王子市,hachiojishi-city,35.668622,139.335707,13
北区,kitaku-ward,35.780738,139.720619,13
千代田区,chiyodaku-ward,35.69847,139.749414,13
台東区,taitoku-ward,35.701896,139.774417,13
品川区,shinagawaku-ward,35.61999,139.713784,13
国分寺市,kokubunjishi-city,35.698265,139.474987,13
国立市,kunitachishi-city,35.685331,139.42418,13
墨田区,sumidaku-ward,35.709683,139.800404,13
多摩市,tamashi-city,35.633987,139.433071,13
大島町,oshimamachi-town,34.778143,139.387092,13
大田区,otaku-ward,35.578435,139.707141,13
小平市,kodairashi-city,35.736041,139.494306,13
小笠原村,ogasawaramura-village,24.28917,153.980589,13
小金井市,koganeishi-city,35.703596,139.529839,13
府中市,fuchushi-city,35.671318,139.516508,13
御蔵島村,mikurajimamura-village,33.897291,139.595894,13
文京区,bunkyoku-ward,35.717062,139.732792,13
新宿区,shinjukuku-ward,35.690028,139.719198,13
新島村,niijimamura-village,34.369634,139.262915,13
日野市,hinoshi-city,35.667537,139.40431,13
昭島市,akishimashi-city,35.708346,139.375034,13
杉並区,suginamiku-ward,35.707654,139.637362,13
東久留米市,higashikurumeshi-city,35.770782,139.542373,13
東大和市,higashiyamatoshi-city,35.757785,139.414533,13
東村山市,higashimurayamashi-city,35.760665,139.496419,13
板橋区,itabashiku-ward,35.777076,139.678961,13
武蔵村山市,musashimurayamashi-city,35.740933,139.366485,13
武蔵野市,musashinoshi-city,35.710296,139.577665,13
江戸川区,edogawaku-ward,35.643469,139.877198,13
江東区,kotoku-ward,35.594021,139.812206,13
清瀬市,kiyoseshi-city,35.791832,139.534894,13
渋谷区,shibuyaku-ward,35.668983,139.683921,13
港区,minatoku-ward,35.668589,139.742334,13
狛江市,komaeshi-city,35.637363,139.577442,13
町田市,machidashi-city,35.612931,139.300727,13
目黒区,meguroku-ward,35.648126,139.6969,13
神津島村,kozushimamura-village,34.226217,139.164036,13
福生市,fussashi-city,35.723492,139.343049,13
稲城市,inagishi-city,35.644584,139.477742,13
立川市,tachikawashi-city,35.69944,139.409026,13
練馬区,nerimaku-ward,35.734074,139.675112,13
羽村市,hamurashi-city,35.75369,139.338544,13
荒川区,arakawaku-ward,35.73476,139.786842,13
葛飾区,katsushikaku-ward,35.743247,139.85604,13
西多摩郡奥多摩町,nishitamagunokutamamachi-town,35.804712,139.166502,13
西多摩郡日の出町,nishitamagunhinodemachi-town,35.764089,139.216731,13
西多摩郡檜原村,nishitamagunhinoharamura-village,35.761614,139.136832,13
西多摩郡瑞穂町,nishitamagunmizuhomachi-town,35.791095,139.353454,13
西東京市,nishitokyoshi-city,35.737914,139.548538,13
調布市,chofushi-city,35.639302,139.545331,13
豊島区,toshimaku-ward,35.735373,139.712803,13
足立区,adachiku-ward,35.774083,139.812714,13
青ヶ島村,aogashimamura-village,32.466736,139.761768,13
青梅市,omeshi-city,35.788363,139.249327,13
