name,code,latitude,longitude,zoom
倉吉市,kurayoshishi-city,35.42647,133.826956,13
八頭郡八頭町,yazugunyazucho-town,35.409915,134.427669,13
八頭郡智頭町,yazugunchizucho-town,35.228549,134.216484,13
八頭郡若桜町,yazugunwakasacho-town,35.362029,134.48925,13
境港市,sakaiminatoshi-city,35.546713,133.233527,13
岩美郡岩美町,iwamiguniwamicho-town,35.487708,134.324335,13
日野郡日南町,hinogunnichinancho-town,35.200062,133.193516,13
日野郡日野町,hinogunhinocho-town,35.187968,133.449651,13
日野郡江府町,hinogunkofucho-town,35.267052,133.4533,13
東伯郡三朝町,tohakugunmisasacho-town,35.405348,133.964789,13
東伯郡北栄町,tohakugunhokueicho-town,35.461787,133.729449,13
東伯郡湯梨浜町,tohakugunyurihamacho-town,35.476839,133.885529,13
東伯郡琴浦町,tohakugunkotoracho-town,35.48275,133.689904,13
米子市,yonagoshi-city,35.3954,133.364157,13
西伯郡伯耆町,saihakugunhokicho-town,35.336538,133.500512,13
西伯郡南部町,saihakugunnambucho-town,35.372791,133.361175,13
西伯郡大山町,saihakugundaisencho-town,35.478011,133.440247,13
西伯郡日吉津村,saihakugunhiezuson-village,35.453222,133.383271,13
鳥取市,tottorishi-city,35.487536,133.974054,13
