name,code,latitude,longitude,zoom
下新川郡入善町,shimoniikawagunnyuzenmachi-town,36.948413,137.521619,13
下新川郡朝日町,shimoniikawagunasahimachi-town,36.946487,137.552158,13
中新川郡上市町,nakaniikawagunkamiichimachi-town,36.645389,137.406631,13
中新川郡立山町,nakaniikawaguntateyamamachi-town,36.675798,137.28883,13
中新川郡舟橋村,nakaniikawagunfunahashimura-village,36.705675,137.295887,13
南砺市,nantoshi-city,36.5544,136.976565,13
富山市,toyamashi-city,36.497666,137.073816,13
射水市,imizushi-city,36.755582,137.149791,13
小矢部市,oyabeshi-city,36.721278,136.866161,13
氷見市,himishi-city,36.783138,136.894709,13
滑川市,namerikawashi-city,36.767349,137.390151,13
砺波市,tonamishi-city,36.600917,137.028647,13
高岡市,takaokashi-city,36.776247,137.030571,13
魚津市,uozushi-city,36.76276,137.533704,13
黒部市,kurobeshi-city,36.837929,137.516738,13
