name,code,latitude,longitude,zoom
伊都郡かつらぎ町,itogunkatsuragicho-town,34.309439,135.51009,13
伊都郡九度山町,itogunkudoyamacho-town,34.251327,135.535773,13
伊都郡高野町,itogunkoyacho-town,34.228259,135.709118,13
和歌山市,wakayamashi-city,34.243544,135.177659,13
岩出市,iwadeshi-city,34.283355,135.285773,13
御坊市,goboshi-city,33.917789,135.149678,13
新宮市,shingushi-city,33.858873,135.83914,13
日高郡みなべ町,hidakagunminabecho-town,33.870837,135.35537,13
日高郡印南町,hidakaguninamicho-town,33.894126,135.337831,13
日高郡日高川町,hidakagunhidakagawacho-town,33.917103,135.319239,13
日高郡日高町,hidakagunhidakacho-town,33.964131,135.160014,13
日高郡由良町,hidakagunyuracho-town,33.991805,135.134057,13
日高郡美浜町,hidakagunmihamacho-town,33.891352,135.089431,13
有田市,aridashi-city,34.064964,135.180677,13
有田郡広川町,aridagunhirogawacho-town,34.008822,135.173802,13
有田郡有田川町,aridagunaridagawacho-town,34.064351,135.386729,13
有田郡湯浅町,aridagunyuasacho-town,34.029523,135.183478,13
東牟婁郡串本町,higashimurogunkushimotocho-town,33.484268,135.730408,13
東牟婁郡北山村,higashimurogunkitayamamura-village,33.982045,135.991941,13
東牟婁郡古座川町,higashimurogunkozagawacho-town,33.635884,135.679566,13
東牟婁郡太地町,higashimuroguntaijicho-town,33.591113,135.95784,13
東牟婁郡那智勝浦町,higashimurogunnachikatsuracho-town,33.588627,135.905508,13
橋本市,hashimotoshi-city,34.311242,135.650479,13
海南市,kainanshi-city,34.124785,135.282056,13
海草郡紀美野町,kaisogunkiminocho-town,34.131636,135.38692,13
田辺市,tanabeshi-city,33.662512,135.567906,13
紀の川市,kinokawashi-city,34.320044,135.339879,13
西牟婁郡すさみ町,nishimurogunsusamicho-town,33.62295,135.541996,13
西牟婁郡上富田町,nishimurogunkamitondacho-town,33.70548,135.416027,13
西牟婁郡白浜町,nishimurogunshirahamacho-town,33.63225,135.484284,13
