name,code,latitude,longitude,zoom
上山市,kaminoyamashi-city,38.132553,140.268235,13
北村山郡大石田町,kitamurayamagunoishidamachi-town,38.578165,140.3927,13
南陽市,nanyoshi-city,38.031818,140.163856,13
天童市,tendoshi-city,38.319732,140.404957,13
寒河江市,sagaeshi-city,38.363086,140.230854,13
尾花沢市,obanazawashi-city,38.551728,140.551748,13
山形市,yamagatashi-city,38.274457,140.286008,13
新庄市,shinjoshi-city,38.745821,140.292125,13
最上郡大蔵村,mogamigunokuramura-village,38.585647,140.17524,13
最上郡戸沢村,mogamiguntozawamura-village,38.755467,140.089822,13
最上郡最上町,mogamigunmogamimachi-town,38.779783,140.522085,13
最上郡真室川町,mogamigunmamurogawamachi-town,38.844689,140.271707,13
最上郡舟形町,mogamigunfunagatamachi-town,38.693674,140.279473,13
最上郡金山町,mogamigunkaneyamamachi-town,38.852106,140.329767,13
最上郡鮭川村,mogamigunsakegawamura-village,38.814374,140.151321,13
村山市,murayamashi-city,38.502937,140.432362,13
東村山郡中山町,higashimurayamagunnakayamamachi-town,38.315605,140.290624,13
東村山郡山辺町,higashimurayamagunyamanobemachi-town,38.28397,140.258195,13
東根市,higashineshi-city,38.411855,140.403463,13
東田川郡三川町,higashitagawagunmikawamachi-town,38.780788,139.870284,13
東田川郡庄内町,higashitagawagunshonaimachi-town,38.821738,139.940339,13
東置賜郡川西町,higashiokitamagunkawanishimachi-town,37.963454,140.020726,13
東置賜郡高畠町,higashiokitamaguntakahatamachi-town,38.003015,140.165165,13
米沢市,yonezawashi-city,37.880855,140.136172,13
西村山郡大江町,nishimurayamagunoemachi-town,38.354211,140.216649,13
西村山郡朝日町,nishimurayamagunasahimachi-town,38.314613,140.128231,13
西村山郡河北町,nishimurayamagunkahokucho-town,38.444532,140.318472,13
西村山郡西川町,nishimurayamagunnishikawamachi-town,38.411318,140.053454,13
西置賜郡小国町,nishiokitamagunogunimachi-town,38.156708,139.741532,13
西置賜郡白鷹町,nishiokitamagunshiratakamachi-town,38.217453,140.107387,13
西置賜郡飯豊町,nishiokitamaguniidemachi-town,37.912615,139.911872,13
酒田市,sakatashi-city,38.980972,139.91233,13
長井市,nagaishi-city,38.147164,139.909476,13
飽海郡遊佐町,akumigunyuzamachi-town,39.002885,139.893762,13
鶴岡市,tsuruokashi-city,38.63127,139.766103,13
