name,code,latitude,longitude,zoom
下松市,kudamatsushi-city,34.089304,131.872165,13
下関市,shimonosekishi-city,34.056287,130.971907,13
光市,hikarishi-city,33.998071,131.944115,13
周南市,shunanshi-city,34.091043,131.800614,13
大島郡周防大島町,oshimagunsuooshimacho-town,33.937672,132.266959,13
宇部市,ubeshi-city,33.992852,131.258064,13
山口市,yamaguchishi-city,34.177421,131.446226,13
山陽小野田市,sanyoonodashi-city,33.980038,131.185951,13
岩国市,iwakunishi-city,34.130808,132.064813,13
柳井市,yanaishi-city,33.955286,132.102583,13
熊毛郡上関町,kumagegunkaminosekicho-town,33.738672,132.145192,13
熊毛郡平生町,kumagegunhiraocho-town,33.875723,132.061864,13
熊毛郡田布施町,kumageguntabusecho-town,33.940567,132.005376,13
玖珂郡和木町,kugagunwakicho-town,34.191974,132.215624,13
美祢市,mineshi-city,34.163115,131.240837,13
萩市,hagishi-city,34.413682,131.400402,13
長門市,nagatoshi-city,34.427687,131.244094,13
防府市,hofushi-city,34.038272,131.57161,13
阿武郡阿武町,abugunabucho-town,34.515254,131.516461,13
