name,code,latitude,longitude,zoom
上野原市,uenoharashi-city,35.568936,139.067339,13
中央市,chuoshi-city,35.581455,138.543394,13
中巨摩郡昭和町,nakakomagunshowacho-town,35.622814,138.522196,13
北杜市,hokutoshi-city,35.889777,138.424306,13
北都留郡丹波山村,kitatsuruguntabayamamura-village,35.793247,138.913512,13
北都留郡小菅村,kitatsurugunkosugemura-village,35.750856,138.949056,13
南アルプス市,minamiarupusushi-city,35.664603,138.376584,13
南巨摩郡南部町,minamikomagunnambucho-town,35.260215,138.501331,13
南巨摩郡富士川町,minamikomagunfujikawacho-town,35.573507,138.434611,13
南巨摩郡早川町,minamikomagunhayakawacho-town,35.376355,138.376465,13
南巨摩郡身延町,minamikomagunminobucho-town,35.471874,138.472933,13
南都留郡富士河口湖町,minamitsurugunfujikawaguchikomachi-town,35.508925,138.776485,13
南都留郡山中湖村,minamitsurugunyamanakakomura-village,35.424642,138.891767,13
南都留郡忍野村,minamitsurugunoshinomura-village,35.461574,138.870388,13
南都留郡西桂町,minamitsurugunnishikatsuracho-town,35.521115,138.843913,13
南都留郡道志村,minamitsurugundoshimura-village,35.480205,138.995057,13
南都留郡鳴沢村,minamitsurugunnarusawamura-village,35.486239,138.721975,13
大月市,otsukishi-city,35.604266,138.955175,13
富士吉田市,fujiyoshidashi-city,35.495458,138.793013,13
山梨市,yamanashishi-city,35.715161,138.678567,13
甲州市,koshushi-city,35.637053,138.743848,13
甲府市,kofushi-city,35.657086,138.564392,13
甲斐市,kaishi-city,35.714227,138.500321,13
笛吹市,fuefukishi-city,35.597014,138.613935,13
西八代郡市川三郷町,nishiyatsushirogunichikawamisatocho-town,35.496541,138.472115,13
都留市,tsurushi-city,35.544449,139.000131,13
韮崎市,nirasakishi-city,35.730049,138.484808,13
