name,code,latitude,longitude,zoom
千代田区,chiyoda-ku,35.69384,139.75311,13
中央区,chuo-ku,35.67034,139.77216,13
港区,minato-ku,35.6581,139.7516,13
新宿区,shinjuku-ku,35.69381,139.70355,13
文京区,bunkyo-ku,35.70819,139.7528,13
台東区,taito-ku,35.7128,139.7804,13
墨田区,sumida-ku,35.71007,139.80965,13
江東区,koto-ku,35.67313,139.81744,13
品川区,shinagawa-ku,35.6097,139.73018,13
目黒区,meguro-ku,35.64177,139.69807,13
大田区,ota-ku,35.56136,139.71622,13
世田谷区,setagaya-ku,35.64666,139.65388,13
渋谷区,shibuya-ku,35.66403,139.69821,13
中野区,nakano-ku,35.70741,139.66386,13
杉並区,suginami-ku,35.69925,139.63661,13
豊島区,toshima-ku,35.73247,139.7156,13
北区,kita-ku,35.75278,139.73339,13
荒川区,arakawa-ku,35.73624,139.78447,13
板橋区,itabashi-ku,35.75104,139.70904,13
練馬区,nerima-ku,35.73568,139.65269,13
足立区,adachi-ku,35.77468,139.80441,13
葛飾区,katsushika-ku,35.74333,139.8471,13
江戸川区,edogawa-ku,35.70653,139.86356,13
八王子市,hachioji,35.65843,139.32677,12
立川市,tachikawa,35.71373,139.40798,13
武蔵野市,musashino,35.70607,139.55911,13
三鷹市,mitaka,35.68343,139.55914,13
青梅市,ome,35.78845,139.2434,12
府中市,fuchu,35.67283,139.47711,13
昭島市,akishima,35.70903,139.37572,13
調布市,chofu,35.65969,139.54817,13
町田市,machida,35.542,139.44662,12
小金井市,koganei,35.70001,139.51036,13
小平市,kodaira,35.73284,139.48863,13
日野市,hino,35.67552,139.4005,13
東村山市,higashimurayama,35.75943,139.46722,13
国分寺市,kokubunji,35.69995,139.48007,13
国立市,kunitachi,35.68291,139.43777,13
福生市,fussa,35.74223,139.32659,13
狛江市,komae,35.63652,139.57833,13
東大和市,higashiyamato,35.74556,139.42844,13
清瀬市,kiyose,35.78538,139.51891,13
東久留米市,higashikurume,35.75802,139.53018,13
武蔵村山市,musashimurayama,35.75442,139.3825,13
多摩市,tama,35.63012,139.44663,13
稲城市,inagi,35.64211,139.50128,13
羽村市,hamura,35.76759,139.31643,13
あきる野市,akiruno,35.7281,139.2937,13
西東京市,nishitokyo,35.72529,139.53845,13
瑞穂町,mizuho,35.78431,139.35302,13
日の出町,hinode,35.72968,139.26036,13
檜原村,hinohara,35.71924,139.13957,12
奥多摩町,okutama,35.80951,139.09633,12
大島町,oshima,34.75198,139.36097,12
利島村,toshima,34.53018,139.27972,12
新島村,niijima,34.37411,139.26263,12
神津島村,kouzushima,34.20581,139.14583,12
三宅村,miyake,34.08948,139.47994,12
御蔵島村,mikurajima,33.89617,139.5986,12
八丈町,hachijo,33.1218,139.7855,12
青ヶ島村,aogashima,32.4636,139.7606,12
小笠原村,ogasawara,27.09434,142.19462,11
