id,slug,name,name-ja,criteria,isAccumulative,isTeamRecord,canbeFocusIndex,isNotCompetitive,unitValue,hasSportCompetition,minValue,maxValue,emoji,standardValue,standardValueMargin,unitValueSteps
d4587c12-ab47-4b64-bfe1-241219445ea1,long-throw-baseball,long-throw-baseball,野球ボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,⚾️,40,10,0.01
bf06d14a-a77d-48e3-8518-7b0aeb961230,long-throw-softball,long-throw-softball,ソフトボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,🥎,30,10,0.01
2f12d7f7-8c55-43cd-aa30-8376b13ef79e,long-throw-handball,long-throw-handball,ハンドボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,🤾,30,10,0.01
23fb2b86-23a8-455c-ab8e-990e0564cadc,long-sitting-and-bending-forward,Long sitting and bending forward,長座前屈,Distance,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,150,🙆,20,30,0.01
eac05cec-e66e-43f8-972a-62a9001e671b,standing-vertical-jump,standing vertical jump,垂直跳び,Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,200,🪽,40,30,0.1
e0034d40-0759-471f-8472-0bc468d6e0ab,running-vertical-jump,running vertical jump,助走付き垂直跳び,Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,200,🪽,40,20,0.1
23e186ec-0fe3-4ea4-8d2c-84b12a48fc57,standing-long-jump,Standing long jump,立ち幅跳び,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,10,🪽,200,50,0.01
193432e8-c1d9-40ce-adfe-5b77cd97d70f,long-jump,Long Jump,走り幅跳び,Distance,FALSE,FALSE,TRUE,FALSE,meter,TRUE,1,15,🪽,300,100,0.01
335272e9-9392-4da8-93bc-eb61987ed4d8,standing-vertical-jump-reach,Standing vertical jump reach,垂直跳び最高到達点,Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,100,500,🪽,260,30,1
07a1bccf-3f55-4d94-bf0d-59c539ac2762,running-vertical-jump-reach,Running vertical jump reach,助走付き垂直跳び最高到達点,Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,100,500,🪽,280,30,1
23f11faf-101f-4c64-935c-e0f5a9f9411b,baseball-pitching-speed,Baseball pitching speed,硬式野球投球スピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,250,⚾️,100,30,0.01
48d43c26-dd12-4738-9d67-652fc323b00d,volleyball-serve-speed,Volleyball serve speed,バレーボールサーブスピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,200,🏐,60,30,0.01
6c766fef-e28f-4f02-bd84-635900195be7,tennis-serve-speed,Tennis serve speed,テニスサーブスピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,300,🎾,100,30,0.01
51b07a32-67f0-4317-a27b-4a27f6ed3458,squats,Squats,スクワット,Weight|CountMoreIsBetter,TRUE,FALSE,TRUE,FALSE,kgAndCount,TRUE,,,🏋️,,,
7f3c58b4-a808-4b01-9b2d-64a78ea92748,bench-press,Bench Press,ベンチプレス,Weight|CountMoreIsBetter,TRUE,FALSE,TRUE,FALSE,kgAndCount,TRUE,,,🏋️,,,
e2b247e3-d274-48c6-884a-1b6dafd5d5f8,squat-1rm,Squat 1RM,スクワット 1RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,30,0.1
0c839a25-ead0-4bac-af71-80c60f14b947,bench-press-1rm,Bench Press 1RM,ベンチプレス 1RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,30,0.1
57f73572-0984-49f2-a561-e0d3896b6c9f,squat-10rm,Squat 10RM,スクワット 10RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,30,0.1
eb97d8d4-ad77-4947-b1c4-c38f63dbdb06,bench-press-10rm,Bench press 10RM,ベンチプレス 10RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,30,0.1
c6107606-f992-4217-9dff-15cfd274602f,horizontal-bar-hanging-time,Horizontal bar hanging time,鉄棒ぶら下がり秒数,TimeLongerIsBetter,TRUE,FALSE,TRUE,FALSE,time,FALSE,1,,🤸,20,10,0.01
5a90047a-a9dc-4309-accd-9b608f6127d1,100m-dash,100m dash,100m走,TimeShorterIsBetter,FALSE,FALSE,TRUE,FALSE,millisecond,TRUE,8,,🏃‍♀️,15,2,0.1
1add9bc4-4692-4685-abec-d8f0e5b99d6e,golf-18h-score,Golf 18H score,ゴルフ18Hスコア,CountLessIsBetter,FALSE,FALSE,TRUE,FALSE,none,TRUE,18,1000,⛳️,110,20,1
e4cb05e3-1545-47a6-a8d7-a94d4c6e9903,golf-9h-score,Golf 9H score,ゴルフ9Hスコア,CountLessIsBetter,FALSE,FALSE,TRUE,FALSE,none,FALSE,9,500,⛳️,55,10,1
