id,name,name-ja,criteria,isAccumulative,isTeamRecord,canbeFocusIndex,isNotCompetitive,unitValue,hasSportCompetition,minValue,maxValue,emoji,standardValue,standardValueMargin,unitValueSteps
long-throw-baseball,long-throw-baseball,野球ボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,⚾️,40,10,0.01
long-throw-softball,long-throw-softball,ソフトボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,🥎,30,10,0.01
long-throw-handball,long-throw-handball,ハンドボール遠投,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,200,🤾,30,10,0.01
long-sitting-and-bending-forward,Long sitting and bending forward,長座前屈,Distance,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,150,🙆,20,20,0.01
standing-vertical-jump,standing vertical jump,垂直跳び (助走なし),Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,200,🪽,40,10,0.1
running-vertical-jump,running vertical jump,垂直跳び (助走あり),Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,1,200,🪽,40,10,0.1
standing-long-jump,Standing long jump,立ち幅跳び,Distance,FALSE,FALSE,TRUE,FALSE,meter,FALSE,1,10,🪽,3.5,0.5,0.01
long-jump,Long jump,走り幅跳び,Distance,FALSE,FALSE,TRUE,FALSE,meter,TRUE,1,15,🪽,3.5,0.5,0.01
standing-vertical-jump-reach,Standing vertical jump reach,最高到達点 (助走なし),Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,100,500,🪽,260,10,1
running-vertical-jump-reach,Running vertical jump reach,最高到達点 (助走あり),Height,FALSE,FALSE,TRUE,FALSE,centimeter,FALSE,100,500,🪽,280,10,1
baseball-pitching-speed,Baseball pitching speed,硬式野球投球スピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,250,⚾️,100,10,0.01
volleyball-serve-speed,Volleyball serve speed,バレーボールサーブスピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,200,🏐,60,10,0.01
tennis-serve-speed,Tennis serve speed,テニスサーブスピード,Speed,FALSE,FALSE,TRUE,FALSE,kmPerHour,FALSE,10,300,🎾,100,10,0.01
squats,Squats,スクワット,"Weight, CountMoreIsBetter",TRUE,FALSE,TRUE,FALSE,kgAndCount,TRUE,,,🏋️,,,
bench-press,bench press,ベンチプレス,"Weight, CountMoreIsBetter",TRUE,FALSE,TRUE,FALSE,kgAndCount,TRUE,,,🏋️,,,
squat-1rm,Squat 1RM,スクワット 1RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,10,0.1
bench-press-1rm,Bench Press 1RM,ベンチプレス 1RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,10,0.1
squat-10rm,Squat 10RM,スクワット 10RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,10,0.1
bench-press-10rm,Bench press 10RM,ベンチプレス 10RM,Weight,FALSE,FALSE,FALSE,FALSE,kilogram,FALSE,0,1000,🏋️,60,10,0.1
horizontal-bar-hanging-time,Horizontal bar hanging time,鉄棒ぶら下がり秒数,TimeLongerIsBetter,TRUE,FALSE,TRUE,FALSE,time,FALSE,1,,🤸,20,5,0.01
100m-dash,100m dash,100m走,TimeShorterIsBetter,FALSE,FALSE,TRUE,FALSE,millisecond,TRUE,8,,🏃‍♀️,15,0.5,0.1
golf-18h-score,Golf 18-Hour Score,ゴルフ18Hスコア,CountLessIsBetter,FALSE,FALSE,TRUE,FALSE,none,TRUE,18,1000,⛳️,110,10,1
golf-9h-score,Golf 9-Hour Score,ゴルフ9Hスコア,CountLessIsBetter,FALSE,FALSE,TRUE,FALSE,none,FALSE,9,500,⛳️,55,5,1
high-diving,High diving,高飛び込み,PointScore,FALSE,FALSE,TRUE,FALSE,point,TRUE,,,🏊,,,
number-of-push-ups,Number of push-ups,腕立て伏せ 回数,CountMoreIsBetter,TRUE,FALSE,TRUE,FALSE,times,FALSE,1,,💪,20,5,1
number-of-push-ups-in-1-minute,Number of push-ups in 1 minute,1分間 腕立て伏せ回数,CountMoreIsBetter,FALSE,FALSE,FALSE,FALSE,times,FALSE,1,,💪,20,5,1
abdominal-exercises,Abdominal exercises,腹筋 回数,CountMoreIsBetter,TRUE,FALSE,TRUE,FALSE,times,FALSE,1,,💪,20,5,1
number-of-sit-ups-in-1-minute,Number of sit-ups in 1 minute,1分間 腹筋回数,CountMoreIsBetter,FALSE,FALSE,FALSE,FALSE,times,FALSE,1,,💪,20,5,1
number-of-pull-ups,Number of pull-ups,懸垂 回数,CountMoreIsBetter,TRUE,FALSE,TRUE,FALSE,times,FALSE,1,,💪,20,5,1
number-of-pull-ups-in-30-sec,Number of pull-ups in 30 sec,30秒間 懸垂回数,CountMoreIsBetter,FALSE,FALSE,FALSE,FALSE,times,FALSE,1,,💪,20,5,1
eyes‑closed-single‑leg-stance-duration,Eyes‑Closed Single‑Leg Stance Duration,目瞑り片足立ち 秒数,TimeLongerIsBetter,FALSE,FALSE,TRUE,FALSE,time,FALSE,0,,🙈,20,5,1
shuttle-run,Shuttle Run,シャトルラン,CountMoreIsBetter,FALSE,FALSE,TRUE,FALSE,times,FALSE,,,🏃‍♀️,,,
repeated-side-jumps,Repeated side jumps,反復横跳び,CountMoreIsBetter,FALSE,FALSE,TRUE,FALSE,times,FALSE,,,🏃‍♀️,,,1
