id,emoji,name,name-ja,slug,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,category1,category2,category3
9dbb5d50-d265-41e5-922c-9e3a8d8ffcf0,⚽️,soccer,サッカー,football,蹴球,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,time,,football,,
43ca7283-182d-4dcb-ae40-e2089d864209,⚽️,futsal,フットサル,futsal,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,time,,football,,
76e9c607-a212-4d8e-a5fe-634ea9ae55d3,⚾️,baseball,野球,baseball,ベースボール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,count,,baseball,,
5f3dcd59-d52b-4be2-8aa8-70e412bd19f2,🏀,basketball,バスケットボール,basketball,籠球,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,time,,basketball,,
a5e688b5-6583-41f4-b79e-0d9f3771d0bc,🏐,volleyball,バレーボール,volleyball,排球,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,volleyball,,
d5dc2cb4-2207-4c3c-8bce-f9d80631f05a,🏉,rugby,ラグビー,rugby,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,point,score,,,,
5e621acd-4dab-4e22-82ff-03e1f4715744,🏉,rugby union,ラグビーユニオン (15人制),rugby-union,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,rugby,,
170e6452-d868-47c1-9334-e42e9ce27d5d,🏉,rugby league,ラグビーリーグ (13人制),rugby-league,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,rugby,,
ec5546e7-d7d8-477f-9d27-55bd63930753,🏉,rugby sevens,ラグビーユニオン セブンズ (7人制),rugby-sevens,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,,,
69ace534-8d6a-4886-a9a7-303494c5aa84,🏸,badminton,バドミントン,badminton,バトミントン,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,score,,badminton,,
ee602c25-e8ca-4d86-a8ac-c8c18077f373,🏓,table tennis,卓球,table-tennis,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,score,,table tennis,,
785b3d03-5dca-4af7-a6f5-49ec609cda66,🎾,tennis,テニス,tennis,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,score,,tennis,,
5f0dfcfa-30a0-474c-874c-085a6a686a78,⛳️,golf,ゴルフ,golf,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,point,count,,golf,,
652580f2-7f50-4ef7-8b20-6b8e22e1d841,🥊,boxing,ボクシング,boxing,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,point|judgement,time|count,,boxing,,
ccf91be6-f21f-4f5b-8083-600cedadd04e,🤼,professional wrestling,プロレス,professional-wrestling,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,point,time,,martial arts,,
47f38aa0-5f65-4756-bc26-7dcb33052450,🥎,softball,ソフトボール,softball,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,count,,softball,,
19c0ccc5-73da-473b-bfa0-154bc9c8d486,🤾,handball,ハンドボール,handball,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,handball,,
0c34a8db-e852-4696-b556-026ec78aab88,🏈,american football,アメリカンフットボール,american-football,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,american football,,
2735d886-314a-4ea9-a8d5-fa50f022942e,🥍,lacrosse,ラクロス,lacrosse,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,lacrosse,,
e78fbaa9-17f3-497f-98c4-87ebca0d2333,🏏,cricket,クリケット,cricket,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,cricket,,
baecfd62-9fbb-4128-842f-a976f74cfc99,🏑,field hockey,フィールドホッケー,field-hockey,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,field hockey,,
96bd4b80-51ab-45de-a0f9-3425cb3b8ad2,🦵,sepak takraw,セパタクロー,sepak-takraw,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,sepak takraw,,
22a5f782-848b-4e8f-8f93-5113ddb2a221,⚽️,Sosaichi,ソサイチ,sosaichi,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,football,,
8ecb5916-9ae1-42d6-ac5d-ef52fa391531,🏀,3x3,3x3,3x3,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,basketball,,
e9ff404d-1361-46f9-b8ea-611e62474e7d,🥏,Ultimate,アルティメット,Ultimate,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,Ultimate,,
bc06b932-c4e4-4cdd-a5f8-01e8d255c83a,🏐🏖️,beach volleyball,ビーチバレー,beach-volleyball,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,score,,volleyball,,
512d2d26-8db1-4a79-b779-2c8f90d71c73,🗣️,kabaddi,カバディ,kabaddi,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,point,count,,kabaddi,,
204403f1-a965-4061-b054-2eba2fac0ff5,🏃‍♂️‍➡️,track and field,陸上競技,track-and-field,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,track and field,,
c2338f6c-1b22-4c09-a397-6bcc956a65c7,🏃‍♂️‍➡️,track and field Sprint,陸上短距離,taf-sprint,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,track and field,,
c7e120bf-c3aa-45ad-ba7e-5faa6cd1cfa9,🏃‍♂️‍➡️,track and field middle-distance,陸上中距離,taf-middle-distance,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,track and field,,
cf960936-d166-443a-8885-83b2c5f57857,🏃‍♂️‍➡️,track and field-long-distance,陸上長距離,taf-long-distance,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,point,score,,track and field,,
3c3444bd-c03a-4511-8458-ec0e34ed1796,🏃‍♀️,50m sprint,50m走,50m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,,,
eaf9bfd4-6846-42d8-a35b-7fda952194a5,🏃‍♀️,60m sprint,60m走,60m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,,,
2f6ded62-519b-4291-98cc-3ce32bd2c573,🏃‍♀️,100m sprint,100m走,100m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,トラック競技,短距離
e7fe24d6-ee3b-4547-b6b9-bb26f53388ca,🏃‍♀️,200m sprint,200m走,200m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,,,
6acff562-c3a4-452a-bb4b-134d27497efb,🏃‍♀️,800m sprint,800m走,800m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,トラック競技,中距離
e10bcf1d-4288-4872-91b5-ab5bde23b2f9,🏃‍♂️‍➡️,1 mile sprint,1マイル走,1mile-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,,
3bfcf32a-fad9-401a-b1e1-607f3d3eadf6,🏃‍♂️‍➡️,1500m sprint,1500m走,1500m-sprint,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,トラック競技,中距離
d930869a-eb2a-461f-9577-754298e85d08,🏃,400m x 4 relay,400mx4人リレー,taf-400m-x-4-relay,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,record,finish,time,track and field,,
5a972e0c-49ac-4395-881a-9b774fcaeedb,🏃,relays,リレー走,taf-relays,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,record,finish,,,,
df99724a-94e0-4f55-8cdd-0de317bd1975,🏃,steeplechase,障害物走,taf-steeplechase,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,,,
0f26f513-0fc7-4158-bc29-9f4517f48a68,🏃,3000m steeplechase,3000m 障害物走,taf-3000m-steeplechase,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,,,
6cceec48-25d9-4833-93e1-722707ec2efa,🏃,5000m run,5000m走,taf-5000m-run,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,,
69111d0d-be37-422c-a588-488a4b26d9fa,🏃,10000m run,10000m走,taf-10000m-run,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,,
36cd6c6e-279d-45a1-bf08-460d9325b015,🏃,Track and field throwing event,陸上投擲種目,taf-throwing-event,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,,,
a4eafcec-931b-432d-b145-7465dede9efb,🏃,hammer throw,ハンマー投げ,hammer-throw,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,投擲
d5b215f0-b354-4962-892f-bd90cd57e3aa,🏃,shot put,砲丸投げ,shot-put,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,投擲
76185d3d-46e8-4801-b055-54f8acad99f1,🥏,discus throw,円盤投げ,discus-throw,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,投擲
4ee48338-2e35-4942-8b4c-ee04034e0311,🏃,javelin throwing,槍投げ,javelin-throwing,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,投擲
bb275d1f-e556-4036-9921-71fdcd929ab8,🦘,Track and field jumping event,陸上跳躍種目,Track-and-field-jumping-event,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,,,
c71c783d-9813-46ca-b126-7062e92a4e1f,🦘,long jump,走り幅跳び,long-jump,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,跳躍
ff6666d8-fc47-406e-a0bb-6a3c2092cc44,🦘,triple jump,三段跳び,triple-jump,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish|count,distance,track and field,フィールド競技,跳躍
e45f7943-d929-483e-93a4-59e8ef48e3e9,🏃,Track and field - Combined Events,陸上混成競技,Track-and-field---Combined-Events,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,track and field,,
dc152b98-4e06-4400-a248-b3a9b3f91b57,🏃,decathlon,十種競技,decathlon,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,point|distance|time,track and field,混成競技,
6b585d89-9f52-45a8-8a05-3ffd35905647,🏃,heptathlon,七種競技,heptathlon,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,point|time|distance,track and field,混成競技,
49beb32a-d2c1-4b04-a31b-7400f09748b7,🏃,half marathon,ハーフマラソン,half-marathon,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,,,
a87af11f-d753-4e3e-9ec1-a8eaf024876b,🏃,marathon,マラソン,marathon,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,ロードレース,
64bb145d-6d34-4422-adf6-cc1f06c90fd8,🏃,Ekiden,駅伝,Ekiden,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,record,finish,time,track and field,ロードレース,
1420c513-1f9f-4277-8a07-dd2e85122ae9,🏃,race walking,競歩,race-walking,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,track and field,ロードレース,
3a86d67c-3f81-47cc-a539-4591528fdf17,🏊,swimming,水泳,swimming,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,record,,,swimming,,
